doi,title,publisher,year,abstract,volume,issue,page,issn_array,authors,total_cites,supporting_cites,mentioning_cites,contrasting_cites,num_citing_publications,num_source_practice_guidelines
10.1007/s11280-021-00916-0,Explainable recommendation: when design meets trust calibration,Springer Science and Business Media LLC,2021,"AbstractHuman-AI collaborative decision-making tools are being increasingly applied in critical domains such as healthcare. However, these tools are often seen as closed and intransparent for human decision-makers. An essential requirement for their success is the ability to provide explanations about themselves that are understandable and meaningful to the users. While explanations generally have positive connotations, studies showed that the assumption behind users interacting and engaging with these explanations could introduce trust calibration errors such as facilitating irrational or less thoughtful agreement or disagreement with the AI recommendation. In this paper, we explore how to help trust calibration through explanation interaction design. Our research method included two main phases. We first conducted a think-aloud study with 16 participants aiming to reveal main trust calibration errors concerning explainability in AI-Human collaborative decision-making tools. Then, we conducted two co-design sessions with eight participants to identify design principles and techniques for explanations that help trust calibration. As a conclusion of our research, we provide five design principles: Design for engagement, challenging habitual actions, attention guidance, friction and support training and learning. Our findings are meant to pave the way towards a more integrated framework for designing explanations with trust calibration as a primary goal.",24,5,1857-1884,"['1386-145X', '1573-1413']","[{'given': 'Mohammad', 'orcid': None, 'family': 'Naiseh', 'affiliation': None}, {'given': 'Dena', 'orcid': None, 'family': 'Al-Thani', 'affiliation': None}, {'given': 'Nan', 'orcid': None, 'family': 'Jiang', 'affiliation': None}, {'given': 'Raian', 'orcid': None, 'family': 'Ali', 'affiliation': None}]",16,0,16,0,33,0
10.1007/s12369-024-01148-8,A Taxonomy of Explanation Types and Need Indicators in Human–Agent Collaborations,Springer Science and Business Media LLC,2024,"AbstractIn recent years, explanations have become a pressing matter in AI research. This development was caused by the increased use of black-box models and a realization of the importance of trustworthy AI. In particular, explanations are necessary for human–agent interactions to ensure that the user can trust the agent and that collaborations are effective. Human–agent interactions are complex social scenarios involving a user, an autonomous agent, and an environment or task with its own distinct properties. Thus, such interactions require a wide variety of explanations, which are not covered by the methods of a single AI discipline, such as computer vision or natural language processing. In this paper, we map out what types of explanations are important for human–agent interactions, surveying the field via a scoping review. In addition to the typical introspective explanation tackled by explainability researchers, we look at assistive explanations, aiming to support the user with their task. Secondly, we survey what causes the need for an explanation in the first place. We identify a variety of human–agent interaction-specific causes and categorize them by whether they are centered on the agent’s behavior, the user’s mental state, or an external entity. Our overview aims to guide robotics practitioners in designing agents with more comprehensive explanation-related capacities, considering different explanation types and the concrete times when explanations should be given.",16,7,1681-1692,"['1875-4791', '1875-4805']","[{'given': 'Lennart', 'orcid': '0000-0001-6105-609X', 'family': 'Wachowiak', 'affiliation': None}, {'given': 'Andrew', 'orcid': None, 'family': 'Coles', 'affiliation': None}, {'given': 'Gerard', 'orcid': None, 'family': 'Canal', 'affiliation': None}, {'given': 'Oya', 'orcid': None, 'family': 'Celiktutan', 'affiliation': None}]",0,0,0,0,0,0
10.1007/s12525-022-00606-3,A nascent design theory for explainable intelligent systems,Springer Science and Business Media LLC,2022,"AbstractDue to computational advances in the past decades, so-called intelligent systems can learn from increasingly complex data, analyze situations, and support users in their decision-making to address them. However, in practice, the complexity of these intelligent systems renders the user hardly able to comprehend the inherent decision logic of the underlying machine learning model. As a result, the adoption of this technology, especially for high-stake scenarios, is hampered. In this context, explainable artificial intelligence offers numerous starting points for making the inherent logic explainable to people. While research manifests the necessity for incorporating explainable artificial intelligence into intelligent systems, there is still a lack of knowledge about how to socio-technically design these systems to address acceptance barriers among different user groups. In response, we have derived and evaluated a nascent design theory for explainable intelligent systems based on a structured literature review, two qualitative expert studies, a real-world use case application, and quantitative research. Our design theory includes design requirements, design principles, and design features covering the topics of global explainability, local explainability, personalized interface design, as well as psychological/emotional factors.",32,4,2185-2205,"['1019-6781', '1422-8890']","[{'given': 'Lukas-Valentin', 'orcid': '0000-0002-0101-5429', 'family': 'Herm', 'affiliation': None}, {'given': 'Theresa', 'orcid': None, 'family': 'Steinbach', 'affiliation': None}, {'given': 'Jonas', 'orcid': '0000-0002-0118-7757', 'family': 'Wanner', 'affiliation': None}, {'given': 'Christian', 'orcid': '0000-0002-8050-123X', 'family': 'Janiesch', 'affiliation': None}]",4,0,4,0,15,0
10.1007/s12652-023-04594-w,The role of explainable Artificial Intelligence in high-stakes decision-making systems: a systematic review,Springer Science and Business Media LLC,2023,"A high-stakes event is an extreme risk with a low probability of occurring, but severe consequences (e.g., life-threatening conditions or economic collapse). The accompanying lack of information is a source of high-stress pressure and anxiety for emergency medical services authorities. Deciding on the best proactive plan and action in this environment is a complicated process, which calls for intelligent agents to automatically produce knowledge in the manner of human-like intelligence. Research in high-stakes decision-making systems has increasingly focused on eXplainable Artificial Intelligence (XAI), but recent developments in prediction systems give little prominence to explanations based on human-like intelligence. This work investigates XAI based on cause-and-effect interpretations for supporting high-stakes decisions. We review recent applications in the first aid and medical emergency fields based on three perspectives: available data, desirable knowledge, and the use of intelligence. We identify the limitations of recent AI, and discuss the potential of XAI for dealing with such limitations. We propose an architecture for high-stakes decision-making driven by XAI, and highlight likely future trends and directions.",14,6,7827-7843,"['1868-5137', '1868-5145']","[{'given': 'Bukhoree', 'orcid': '0000-0002-5953-9874', 'family': 'Sahoh', 'affiliation': None}, {'given': 'Anant', 'orcid': None, 'family': 'Choksuriwong', 'affiliation': None}]",4,0,4,0,33,0
10.1007/s13218-018-0559-3,Defining Explainable AI for Requirements Analysis,Springer Science and Business Media LLC,2018,,32,4,261-266,"['0933-1875', '1610-1987']","[{'given': 'Raymond', 'orcid': None, 'family': 'Sheh', 'affiliation': None}, {'given': 'Isaac', 'orcid': None, 'family': 'Monteath', 'affiliation': None}]",21,0,21,0,36,0
10.1007/s13218-023-00806-9,Increasing the Value of XAI for Users: A Psychological Perspective,Springer Science and Business Media LLC,2023,"AbstractThis paper summarizes the psychological insights and related design challenges that have emerged in the field of Explainable AI (XAI). This summary is organized as a set of principles, some of which have recently been instantiated in XAI research. The primary aspects of implementation to which the principles refer are the design and evaluation stages of XAI system development, that is, principles concerning the design of explanations and the design of experiments for evaluating the performance of XAI systems. The principles can serve as guidance, to ensure that AI systems are human-centered and effectively assist people in solving difficult problems.",37,2-4,237-247,"['0933-1875', '1610-1987']","[{'given': 'Robert R.', 'orcid': '0000-0002-1387-7659', 'family': 'Hoffman', 'affiliation': None}, {'given': 'Timothy', 'orcid': None, 'family': 'Miller', 'affiliation': None}, {'given': 'Gary', 'orcid': None, 'family': 'Klein', 'affiliation': None}, {'given': 'Shane T.', 'orcid': None, 'family': 'Mueller', 'affiliation': None}, {'given': 'William J.', 'orcid': None, 'family': 'Clancey', 'affiliation': None}]",14,0,14,0,9,0
10.1007/s43681-022-00217-w,Explainable AI lacks regulative reasons: why AI and human decision-making are not equally opaque,Springer Science and Business Media LLC,2022,"AbstractMany artificial intelligence (AI) systems currently used for decision-making are opaque, i.e., the internal factors that determine their decisions are not fully known to people due to the systems’ computational complexity. In response to this problem, several researchers have argued that human decision-making is equally opaque and since simplifying, reason-giving explanations (rather than exhaustive causal accounts) of a decision are typically viewed as sufficient in the human case, the same should hold for algorithmic decision-making. Here, I contend that this argument overlooks that human decision-making is sometimes significantly more transparent and trustworthy than algorithmic decision-making. This is because when people explain their decisions by giving reasons for them, this frequently prompts those giving the reasons to govern or regulate themselves so as to think and act in ways that confirm their reason reports. AI explanation systems lack this self-regulative feature. Overlooking it when comparing algorithmic and human decision-making can result in underestimations of the transparency of human decision-making and in the development of explainable AI that may mislead people by activating generally warranted beliefs about the regulative dimension of reason-giving.",3,3,963-974,"['2730-5953', '2730-5961']","[{'given': 'Uwe', 'orcid': None, 'family': 'Peters', 'affiliation': None}]",11,0,11,0,28,0
10.1007/s43681-024-00622-3,Explanation needs and ethical demands: unpacking the instrumental value of XAI,Springer Science and Business Media LLC,2024,"AbstractThe call for XAI rests on a normative claim: ‘Good AI is explainable AI’ or even the stronger claim: ‘Only explainable AI is good AI.’ However, this valorization runs the risk of being overgeneralized because explanations are not per se useful, appropriate, or demanded. Explainability should not be seen as a value in itself but as a means to certain ends. In this paper, we put the valorization of explainability into question, which is discursively connected to the idea of ‘users’ needs’ and the will to design and develop ethically aligned AI systems. By making the instrumental character of the value of explainability explicit, we address two key issues that necessitate more theoretical attention: (i) to analyze the link between explainability and its presumed purpose; and (ii) to clarify the conceptions of these presumed purposes, namely users’ needs and ethical principles XAI is meant to promote. From a philosophical and from a psychological perspective, we constructively criticize the undertheorized and undercomplex way of talking about ‘users’ needs’ and ethical demands. We plea to carefully differentiate the value of explainable AI in social contexts and signal further need for research.",5,3,3015-3033,"['2730-5953', '2730-5961']","[{'given': 'Suzana', 'orcid': '0000-0003-0682-576X', 'family': 'Alpsancar', 'affiliation': None}, {'given': 'Heike M.', 'orcid': None, 'family': 'Buhl', 'affiliation': None}, {'given': 'Tobias', 'orcid': None, 'family': 'Matzner', 'affiliation': None}, {'given': 'Ingrid', 'orcid': None, 'family': 'Scharlau', 'affiliation': None}]",0,0,0,0,0,0
10.1007/s43681-024-00648-7,Insights into suggested Responsible AI (RAI) practices in real-world settings: a systematic literature review,Springer Science and Business Media LLC,2025,,5,3,3185-3232,"['2730-5953', '2730-5961']","[{'given': 'Tita Alissa', 'orcid': '0000-0001-8536-6826', 'family': 'Bach', 'affiliation': None}, {'given': 'Magnhild', 'orcid': None, 'family': 'Kaarstad', 'affiliation': None}, {'given': 'Elizabeth', 'orcid': None, 'family': 'Solberg', 'affiliation': None}, {'given': 'Aleksandar', 'orcid': None, 'family': 'Babic', 'affiliation': None}]",0,0,0,0,0,0
10.1016/j.artint.2018.07.007,Explanation in artificial intelligence: Insights from the social sciences,Elsevier BV,2019,"
There has been a recent resurgence in the area of explainable artificial intelligence as researchers and practitioners seek to make their algorithms more understandable. Much of this research is focused on explicitly explaining decisions or actions to a human observer, and it should not be controversial to say that looking at how humans explain to each other can serve as a useful starting point for explanation in artificial intelligence. However, it is fair to say that most work in explainable artificial intelligence uses only the researchers' intuition of what constitutes a 'good' explanation. There exists vast and valuable bodies of research in philosophy, psychology, and cognitive science of how people define, generate, select, evaluate, and present explanations, which argues that people employ certain cognitive biases and social expectations towards the explanation process. This paper argues that the field of explainable artificial intelligence should build on this existing research, and reviews relevant papers from philosophy, cognitive psychology/science, and social psychology, which study these topics. It draws out some important findings, and discusses ways that these can be infused with work on explainable artificial intelligence.
",267,,1-38,['0004-3702'],"[{'given': 'Tim', 'orcid': None, 'family': 'Miller', 'affiliation': None}]",2900,38,2822,3,4025,0
10.1016/j.artint.2021.103473,What do we want from Explainable Artificial Intelligence (XAI)? – A stakeholder perspective on XAI and a conceptual model guiding interdisciplinary XAI research,Elsevier BV,2021,"Previous research in Explainable Artificial Intelligence (XAI) suggests that a main aim of explainability approaches is to satisfy specific interests, goals, expectations, needs, and demands regarding artificial systems (we call these 'stakeholders' desiderata') in a variety of contexts. However, the literature on XAI is vast, spreads out across multiple largely disconnected disciplines, and it often remains unclear how explainability approaches are supposed to achieve the goal of satisfying stakeholders' desiderata. This paper discusses the main classes of stakeholders calling for explainability of artificial systems and reviews their desiderata.",296,,103473,['0004-3702'],"[{'given': 'Markus', 'orcid': '0000-0002-8165-1803', 'family': 'Langer', 'affiliation': None}, {'given': 'Daniel', 'orcid': '0000-0003-2761-6262', 'family': 'Oster', 'affiliation': None}, {'given': 'Timo', 'orcid': '0000-0002-6675-154X', 'family': 'Speith', 'affiliation': None}, {'given': 'Holger', 'orcid': None, 'family': 'Hermanns', 'affiliation': None}, {'given': 'Lena', 'orcid': '0000-0002-8747-6911', 'family': 'Kästner', 'affiliation': None}, {'given': 'Eva', 'orcid': '0000-0002-7305-7126', 'family': 'Schmidt', 'affiliation': None}, {'given': 'Andreas', 'orcid': '0000-0003-0894-5407', 'family': 'Sesing', 'affiliation': None}, {'given': 'Kevin', 'orcid': None, 'family': 'Baum', 'affiliation': None}]",270,4,266,0,439,0
10.1016/j.caeai.2021.100041,Conceptualizing AI literacy: An exploratory review,Elsevier BV,2021,,2,,100041,['2666-920X'],"[{'given': 'Davy Tsz Kit', 'orcid': '0000-0002-2380-7814', 'family': 'Ng', 'affiliation': None}, {'given': 'Jac Ka Lok', 'orcid': '0000-0001-6490-7005', 'family': 'Leung', 'affiliation': None}, {'given': 'Samuel Kai Wah', 'orcid': '0000-0003-1557-2776', 'family': 'Chu', 'affiliation': None}, {'given': 'Maggie Shen', 'orcid': None, 'family': 'Qiao', 'affiliation': None}]",314,5,302,1,653,0
10.1016/j.chb.2022.107574,"Supporting Human-AI Teams:Transparency, explainability, and situation awareness",Elsevier BV,2023,,140,,107574,['0747-5632'],"[{'given': 'Mica R.', 'orcid': '0000-0002-2359-947X', 'family': 'Endsley', 'affiliation': None}]",50,2,48,0,126,0
10.1016/j.ijinfomgt.2022.102538,Stop ordering machine learning algorithms by their explainability! A user-centered investigation of performance and explainability,Elsevier BV,2023,,69,,102538,['0268-4012'],"[{'given': 'Lukas-Valentin', 'orcid': None, 'family': 'Herm', 'affiliation': None}, {'given': 'Kai', 'orcid': None, 'family': 'Heinrich', 'affiliation': None}, {'given': 'Jonas', 'orcid': None, 'family': 'Wanner', 'affiliation': None}, {'given': 'Christian', 'orcid': None, 'family': 'Janiesch', 'affiliation': None}]",41,0,38,0,91,0
10.1016/j.inffus.2019.12.012,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",Elsevier BV,2020,"
In the last few years, Artificial Intelligence (AI) has achieved a notable momentum that, if harnessed appropriately, may deliver the best of expectations over many application sectors across the field. For this to occur shortly in Machine Learning, the entire community stands in front of the barrier of explainability, an inherent problem of the latest techniques brought by sub-symbolism (e.g. ensembles or Deep Neural Networks) that were not present in the last hype of AI (namely, expert systems and rule based models). Paradigms underlying this problem fall within the so-called eXplainable AI (XAI) field, which is widely acknowledged as a crucial feature for the practical deployment of AI models. The overview presented in this article examines the existing literature and contributions already done in the field of XAI, including a prospect toward what is yet to be reached. For this purpose we summarize previous efforts made to define explainability in Machine Learning, establishing a novel definition of explainable Machine Learning that covers such prior conceptual propositions with a major focus on the audience for which the explainability is sought. Departing from this definition, we propose and discuss about a taxonomy of recent contributions related to the explainability of different Machine Learning models, including those aimed at explaining Deep Learning methods for which a second dedicated taxonomy is built and examined in detail. This critical literature analysis serves as the motivating background for a series of challenges faced by XAI, such as the interesting crossroads of data fusion and explainability. Our prospects lead toward the concept of Responsible Artificial Intelligence, namely, a methodology for the large-scale implementation of AI methods in real organizations with fairness, model explainability and accountability at its core. Our ultimate goal is to provide newcomers to the field of XAI with a thorough taxonomy that can serve as reference material in order to stimulate future research advances, but also to encourage experts and professionals from other disciplines to embrace the benefits of AI in their activity sectors, without any prior bias for its lack of interpretability.
",58,,82-115,['1566-2535'],"[{'given': 'Alejandro', 'orcid': None, 'family': 'Barredo Arrieta', 'affiliation': None}, {'given': 'Natalia', 'orcid': None, 'family': 'Díaz-Rodríguez', 'affiliation': None}, {'given': 'Javier', 'orcid': None, 'family': 'Del Ser', 'affiliation': None}, {'given': 'Adrien', 'orcid': None, 'family': 'Bennetot', 'affiliation': None}, {'given': 'Siham', 'orcid': None, 'family': 'Tabik', 'affiliation': None}, {'given': 'Alberto', 'orcid': None, 'family': 'Barbado', 'affiliation': None}, {'given': 'Salvador', 'orcid': None, 'family': 'Garcia', 'affiliation': None}, {'given': 'Sergio', 'orcid': None, 'family': 'Gil-Lopez', 'affiliation': None}, {'given': 'Daniel', 'orcid': None, 'family': 'Molina', 'affiliation': None}, {'given': 'Richard', 'orcid': None, 'family': 'Benjamins', 'affiliation': None}, {'given': 'Raja', 'orcid': None, 'family': 'Chatila', 'affiliation': None}, {'given': 'Francisco', 'orcid': None, 'family': 'Herrera', 'affiliation': None}]",3065,14,3004,0,6529,0
10.1016/j.knosys.2021.107587,Explainability in supply chain operational risk management: A systematic literature review,Elsevier BV,2022,,235,,107587,['0950-7051'],"[{'given': 'Sonia Farhana', 'orcid': '0000-0003-1788-1329', 'family': 'Nimmy', 'affiliation': None}, {'given': 'Omar K.', 'orcid': '0000-0002-5738-6560', 'family': 'Hussain', 'affiliation': None}, {'given': 'Ripon K.', 'orcid': '0000-0002-7373-0149', 'family': 'Chakrabortty', 'affiliation': None}, {'given': 'Farookh Khadeer', 'orcid': None, 'family': 'Hussain', 'affiliation': None}, {'given': 'Morteza', 'orcid': None, 'family': 'Saberi', 'affiliation': None}]",20,0,20,0,64,0
10.1016/j.patter.2024.100971,Explainability pitfalls: Beyond dark patterns in explainable AI,Elsevier BV,2024,,5,6,100971,['2666-3899'],"[{'given': 'Upol', 'orcid': '0000-0002-4911-0409', 'family': 'Ehsan', 'affiliation': None}, {'given': 'Mark O.', 'orcid': None, 'family': 'Riedl', 'affiliation': None}]",0,0,0,0,11,0
10.1080/08839514.2023.2282834,Engineering Responsible And Explainable Models In Human-Agent Collectives,Informa UK Limited,2023,,38,1,,"['0883-9514', '1087-6545']","[{'given': 'Dhaminda B.', 'orcid': '0000-0002-4423-0284', 'family': 'Abeywickrama', 'affiliation': 'Department of Computer Science, University of Bristol, Bristol, UK'}, {'given': 'Sarvapali D.', 'orcid': '0000-0001-9686-4302', 'family': 'Ramchurn', 'affiliation': 'Electronics &amp; Computer Science, University of Southampton, Southampton, UK'}]",0,0,0,0,2,0
