scopus,,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Pyle C.; Roemmich K.; Andalibi N.,"Pyle, Cassidy (57223998362); Roemmich, Kat (57313096600); Andalibi, Nazanin (36968038900)",57223998362; 57313096600; 36968038900,U.S. Job-Seekers' Organizational Justice Perceptions of Emotion AI-Enabled Interviews,2024,Proceedings of the ACM on Human-Computer Interaction,8,CSCW2,454,,,,4,10.1145/3686993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209351616&doi=10.1145%2f3686993&partnerID=40&md5=2b237b49b906da6a163229e97664b981,"Emotion AI is increasingly used to automatically evaluate asynchronous hiring interviews. Although touted for increasing hiring fit and reducing bias, it is unclear how job-seekers perceive emotion AI-enabled asynchronous interviews. This gap is striking, given job-seekers' marginalized position in hiring and how job-seekers with marginalized identities may be particularly vulnerable to this technology's potential harms. Addressing this gap, we conducted exploratory interviews with 14 U.S.-based participants with direct, recent experience with emotion AI-enabled asynchronous interviews. While participants acknowledged the asynchronous, virtual modality's potential benefits to employers and job-seekers, they perceived harms to job-seekers associated with automatic emotion inferences that our analysis maps to distributive, procedural, and interactional injustices. We find that social identity can inform job-seekers' perceptions of emotion AI, extending prior work's understandings of the factors contributing to job-seekers' perceptions of AI (broadly) in hiring. Moreover, our results suggest that emotion AI use may reconfigure demands for emotional labor in hiring and that deploying this technology in its current state may unjustly risk harmful outcomes for job-seekers - or, at the very least, perceptions thereof, which shape behaviors and attitudes. Accordingly, we recommend against the present adoption of emotion AI in hiring, identifying opportunities for the design of future asynchronous hiring interview platforms to be meaningfully transparent, contestable, and privacy-preserving. We emphasize that only a subset of perceived harms we surface may be alleviated by these efforts; some injustices may only be resolved by removing emotion AI-enabled features.  © 2024 ACM.",affective computing; algorithmic decision-making; algorithms; contestability; emotion recognition; employment; explainability; future of work; hiring; justice; organizational justice; privacy; privacy harms; relational ethics; transparency; workplace,Decision making; Emotion Recognition; Affective Computing; Algorithmic decision-making; Algorithmics; Contestability; Decisions makings; Emotion recognition; Explainability; Future of works; Hiring; Justice; Organisational; Organizational justice; Privacy; Privacy harm; Relational ethic; Workplace; Differential privacy,Article,Final,,Scopus,2-s2.0-85209351616
Chevalier O.; Dubey G.; Benkabbou A.; Majbar M.A.; Souadka A.,"Chevalier, Olivia (59700501900); Dubey, Gérard (7102913288); Benkabbou, Amine (16063004400); Majbar, Mohammed Anass (57219127875); Souadka, Amine (57116300900)",59700501900; 7102913288; 16063004400; 57219127875; 57116300900,Comprehensive overview of artificial intelligence in surgery: a systematic review and perspectives,2025,Pflugers Archiv European Journal of Physiology,477,4,,617,626,9,0,10.1007/s00424-025-03076-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000449165&doi=10.1007%2fs00424-025-03076-6&partnerID=40&md5=9a6429b4acbff6963b2684450d76015c,"The rapid integration of artificial intelligence (AI) into surgical practice necessitates a comprehensive evaluation of its applications, challenges, and physiological impact. This systematic review synthesizes current AI applications in surgery, with a particular focus on machine learning (ML) and its role in optimizing preoperative planning, intraoperative decision-making, and postoperative patient management. Using PRISMA guidelines and PICO criteria, we analyzed key studies addressing AI’s contributions to surgical precision, outcome prediction, and real-time physiological monitoring. While AI has demonstrated significant promise—from enhancing diagnostics to improving intraoperative safety—many surgeons remain skeptical due to concerns over algorithmic unpredictability, surgeon autonomy, and ethical transparency. This review explores AI’s physiological integration into surgery, discussing its role in real-time hemodynamic assessments, AI-guided tissue characterization, and intraoperative physiological modeling. Ethical concerns, including algorithmic opacity and liability in high-stakes scenarios, are critically examined alongside AI’s potential to augment surgical expertise. We conclude that longitudinal validation, improved AI explainability, and adaptive regulatory frameworks are essential to ensure safe, effective, and ethically sound integration of AI into surgical decision-making. Future research should focus on bridging AI-driven analytics with real-time physiological feedback to refine precision surgery and patient safety strategies. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2025.",Decision support systems in surgery; Ethical implications of AI; Human-AI collaboration; Machine learning in surgery; Surgical artificial intelligence,Artificial Intelligence; Humans; Machine Learning; artificial intelligence; augmented reality; automation; decision making; decision support system; deep learning; digital twin; error; explainable artificial intelligence; follow up; information security; intraoperative monitoring; machine learning; mortality risk; patient care; postoperative care; postoperative period; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; Review; surgery; surgical technology; systematic review; tissue characterization; human; machine learning,Review,Final,,Scopus,2-s2.0-105000449165
Wen Y.; Li S.; Zuo R.; Yuan L.; Mao H.; Liu P.,"Wen, Yongyan (59465609300); Li, Siyuan (57205550729); Zuo, Rongchang (58680415100); Yuan, Lei (57289008600); Mao, Hangyu (57195585397); Liu, Peng (55574230218)",59465609300; 57205550729; 58680415100; 57289008600; 57195585397; 55574230218,SkillTree: Explainable Skill-Based Deep Reinforcement Learning for Long-Horizon Control Tasks,2025,Proceedings of the AAAI Conference on Artificial Intelligence,39,20,,21491,21500,9,0,10.1609/aaai.v39i20.35451,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003996345&doi=10.1609%2faaai.v39i20.35451&partnerID=40&md5=4ff4ce71fc37744ca3ffdb64d58ec49b,"Deep reinforcement learning (DRL) has achieved remarkable success in various domains, yet its reliance on neural networks results in a lack of transparency, which limits its practical applications in safety-critical and human-agent interaction domains. Decision trees, known for their notable explainability, have emerged as a promising alternative to neural networks. However, decision trees often struggle in long-horizon continuous control tasks with high-dimensional observation space due to their limited expressiveness. To address this challenge, we propose SkillTree, a novel hierarchical framework that reduces the complex continuous action space of challenging control tasks into discrete skill space. By integrating the differentiable decision tree within the high-level policy, SkillTree generates discrete skill embeddings that guide low-level policy execution. Furthermore, through distillation, we obtain a simplified decision tree model that improves performance while further reducing complexity. Experiment results validate SkillTree’s effectiveness across various robotic manipulation tasks, providing clear skill-level insights into the decision-making process. The proposed approach not only achieves performance comparable to neural network based methods in complex long-horizon control tasks but also significantly enhances the transparency and explainability of the decision-making process. © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,Deep neural networks; Reinforcement learning; Robots; Continuous control; Control task; Decision-making process; High-dimensional; Higher-dimensional; Horizon control; Human-agent interaction; Interaction domain; Neural-networks; Reinforcement learnings; Deep reinforcement learning,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105003996345
Shi H.; Li S.; Huang Z.; Li S.; Li A.; Zhou Y.,"Shi, Hanyue (57219547361); Li, Shaowei (57016010000); Huang, Zian (59407174100); Li, Shida (59215668900); Li, Ang (57203385867); Zhou, Yaoming (55152900500)",57219547361; 57016010000; 59407174100; 59215668900; 57203385867; 55152900500,Manned and Unmanned Aerial Vehicles Cooperative Combat Framework Based on Large Language Models,2024,ICAS Proceedings,,,,,,23,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208791772&partnerID=40&md5=d2c9fbfebd7c89d9ba78b9232dc7074b,"The collaborative combat of manned and unmanned aerial vehicles is one of the principal directions for the future development of aerial combat systems, facing the challenge of excessive decision-making and operational burdens on pilots during UAV control. This paper proposes a novel framework for the collaborative combat of manned and unmanned aerial vehicles, incorporating large language model(LLM) into the process of aircraft pilots commanding and controlling multiple unmanned aerial vehicles (UAVs). The framework utilizes LLM for complex semantic understanding and monitoring of task instruction execution. It allows pilots to issue task instructions to UAVs using non-standard natural language. The received natural language task instructions are matched with the preloaded policy library of the designed task executor in UAVs, and an appropriate policy is selected for execution. During task execution, UAVs provide feedback on the task execution status to manned aircraft at key nodes, and continue task execution upon confirmation by manned aircraft until task completion or receipt of new task instructions. The framework is tested in typical beyond-visual-range combat scenarios of manned and unmanned aerial vehicle collaboration. It exhibits good human-machine interaction, robustness, trustworthiness, explainability, and effectively reducing the decision-making and operational burdens on pilots. The research findings of this paper can be widely applied to various task scenarios where humans and robots collaborate to accomplish tasks, providing a feasible technical route for the collaborative combat of manned and unmanned aerial vehicles. © 2024, International Council of the Aeronautical Sciences. All rights reserved.",Human- machine cooperation; Large language model agent; Large language model control; Manned and unmanned aerial vehicles cooperative; Natural language contro,Collaborative robots; Fighter aircraft; Man machine systems; Military helicopters; Problem oriented languages; Unmanned aerial vehicles (UAV); Aerial vehicle; Human-machine cooperation; Language model; Large language model agent; Large language model control; Manned and unmanned aerial vehicle cooperative; Model agents; Modelling controls; Natural language contro; Natural languages; Semantics,Conference paper,Final,,Scopus,2-s2.0-85208791772
Fregosi C.; Cabitza F.,"Fregosi, Caterina (59251224000); Cabitza, Federico (16199544700)",59251224000; 16199544700,A Frictional Design Approach: Towards Judicial AI and its Possible Applications,2024,CEUR Workshop Proceedings,3825,,,23,28,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210318631&partnerID=40&md5=57237a3a4d79500d5013d2a24a1b6b7a,"Decision support systems (DSS) are increasingly being integrated into high-stakes domains like healthcare, law, and finance, where critical decisions have significant consequences. Traditional DSS often provide a single, clear-cut recommendation, which can lead to automation bias and diminish the user’s sense of agency. However, there is a growing concern about the over-reliance on these systems and the potential for deskilling among users. The knowledge gap we aim to address is the development of decision support systems that effectively encourage critical reflection and maintain user engagement and responsibility in decision-making processes. In this workshop contribution, we report on the development of Judicial AI, a novel approach inspired by Frictional AI. Judicial AI diverges from traditional DSS by offering multiple, contrasting explanations to support different potential outcomes. This design encourages users to engage in deeper cognitive processing, thereby promoting critical reflection, reducing automation bias, and preserving the user’s sense of agency. This ongoing study employs a two-arm experiment to investigate the effects of this approach in the context of content classification tasks, comparing it with the traditional protocol. The expected outcomes of this ongoing study suggest that the Judicial protocol could not only mitigate automation bias but also safeguard users’ sense of agency and promote long-term skill retention. © 2024 Copyright for this paper by its authors.",eXplainable AI (XAI); Frictional AI; Human-AI Decision making process; Judicial AI,Artificial intelligence; Decision making; Automation bias; Critical reflections; Decision supports; Decision-making process; Explainable AI (XAI); Frictional AI; Human-AI decision making process; Judicial AI; Sense of agencies; Support systems; Decision support systems,Conference paper,Final,,Scopus,2-s2.0-85210318631
Senoner J.; Schallmoser S.; Kratzwald B.; Feuerriegel S.; Netland T.,"Senoner, Julian (57216863672); Schallmoser, Simon (57234617300); Kratzwald, Bernhard (56470814500); Feuerriegel, Stefan (53881265200); Netland, Torbjørn (36667063700)",57216863672; 57234617300; 56470814500; 53881265200; 36667063700,Explainable AI improves task performance in human–AI collaboration,2024,Scientific Reports,14,1,31150,,,,2,10.1038/s41598-024-82501-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213519314&doi=10.1038%2fs41598-024-82501-9&partnerID=40&md5=82e9bf118cc37b240571021c3ee2c53a,"Artificial intelligence (AI) provides considerable opportunities to assist human work. However, one crucial challenge of human–AI collaboration is that many AI algorithms operate in a black-box manner where the way how the AI makes predictions remains opaque. This makes it difficult for humans to validate a prediction made by AI against their own domain knowledge. For this reason, we hypothesize that augmenting humans with explainable AI improves task performance in human–AI collaboration. To test this hypothesis, we implement explainable AI in the form of visual heatmaps in inspection tasks conducted by domain experts. Visual heatmaps have the advantage that they are easy to understand and help to localize relevant parts of an image. We then compare participants that were either supported by (a) black-box AI or (b) explainable AI, where the latter supports them to follow AI predictions when the AI is accurate or overrule the AI when the AI predictions are wrong. We conducted two preregistered experiments with representative, real-world visual inspection tasks from manufacturing and medicine. The first experiment was conducted with factory workers from an electronics factory, who performed assessments of whether electronic products have defects. The second experiment was conducted with radiologists, who performed assessments of chest X-ray images to identify lung lesions. The results of our experiments with domain experts performing real-world tasks show that task performance improves when participants are supported by explainable AI with heatmaps instead of black-box AI. We find that explainable AI as a decision aid improved the task performance by 7.7 percentage points (95% confidence interval [CI]: 3.3% to 12.0%,) in the manufacturing experiment and by 4.7 percentage points (95% CI: 1.1% to 8.3%,) in the medical experiment compared to black-box AI. These gains represent a significant improvement in task performance. © The Author(s) 2024.",Decision-making; Explainable AI; Human-centered AI; Human–AI collaboration; Task performance,Adult; Algorithms; Artificial Intelligence; Female; Humans; Male; Task Performance and Analysis; adult; algorithm; artificial intelligence; female; human; male; task performance,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85213519314
Alt B.; Zahn J.; Kienle C.; Dvorak J.; May M.; Katic D.; Jäkel R.; Kopp T.; Beetz M.; Lanza G.,"Alt, Benjamin (57222956861); Zahn, Johannes (59147846600); Kienle, Claudius (58343756500); Dvorak, Julia (57741276500); May, Marvin (57654529100); Katic, Darko (36610339700); Jäkel, Rainer (23568193700); Kopp, Tobias (57201388519); Beetz, Michael (36818071500); Lanza, Gisela (23100137400)",57222956861; 59147846600; 58343756500; 57741276500; 57654529100; 36610339700; 23568193700; 57201388519; 36818071500; 23100137400,Human-AI Interaction in Industrial Robotics: Design and Empirical Evaluation of a User Interface for Explainable AI-Based Robot Program Optimization,2024,IFAC-PapersOnLine,58,27,,591,596,5,0,10.1016/j.procir.2024.10.134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213028346&doi=10.1016%2fj.procir.2024.10.134&partnerID=40&md5=5646b09d73b1828b533e3392837b42a1,"While recent advances in deep learning have demonstrated its transformative potential, its adoption for real-world manufacturing applications remains limited. We present an Explanation User Interface (XUI) for a state-of-the-art deep learning-based robot program optimizer which provides both naive and expert users with different user experiences depending on their skill level, as well as Explainable AI (XAI) features to facilitate the application of deep learning methods in real-world applications. To evaluate the impact of the XUI on task performance, user satisfaction and cognitive load, we present the results of a preliminary user survey and propose a study design for a large-scale follow-up study. © 2024 The Authors.",deep learning; explainable artificial intelligence; explanation user interfaces; industrial robotics; manufacturing; user study,Contrastive Learning; Deep learning; Human robot interaction; Industrial robots; Microrobots; Robot applications; Robot learning; Robot programming; Deep learning; Design evaluation; Empirical evaluations; Explainable artificial intelligence; Explanation user interface; Industrial robotics; Real-world; Robot programs; Robotic design; User study; Smart manufacturing,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85213028346
Masaeid T.A.; Alkhalidi M.M.; Ali A.A.A.A.; Almaazmi S.M.G.A.; Alami R.,"Masaeid, Turki Al (57216928871); Alkhalidi, Marwan Mohamed (59649662500); Ali, Ahmed Abdulla Ahmed Al (59652176800); Almaazmi, Saeed Mohamed Ghuloum Aldoobi (59649662600); Alami, Rachid (58065710900)",57216928871; 59649662500; 59652176800; 59649662600; 58065710900,Artificial Intelligence-Augmented Decision-Making: Examining the Interplay Between Machine Learning Algorithms and Human Judgment in Organizational Leadership,2025,Journal of Ecohumanism,4,1,,4683,4699,16,0,10.62754/joe.v4i1.6364,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218781082&doi=10.62754%2fjoe.v4i1.6364&partnerID=40&md5=e46d6bd01c86d5bcb4358ac65da3fd66,"The paper discusses the bright and dark sides of the relationship between human judgment and AI-driven machine learning (ML) algorithms. While discussing important issues, such as algorithm aversion, automation bias, and trust, it probes into how AI improves decision-making efficiency through predictive accuracy, resource optimisation, and data-driven insights. Even as AI can revolutionise decision-making, its effective integration must balance algorithmic output and human judgment. The most critical challenges include automation bias resulting from over-reliance on advice given by AI and algorithm aversion driven by concerns related to AI failures. Open systems, explainable AI (XAI) frameworks, and user-centered design can help to engender confidence in AI systems and alleviate these issues. Accountability, equity, and prejudice concerns raise further ethical considerations with AI. The study proposed several tactics that might mitigate such challenges: audits of ethics, adherence to legal policy, and integration of the AI systems with the company’s values. It underlines the human-AI collaboration that will be increasingly necessary, as well as hybrid models for decision-making that bring algorithmic accuracy to human intuition. It follows the case study review and empirical findings with practical lessons for organisational leaders on ethics, best deployment practices for AI, and tactical ways to engender better collaboration and trust. The conclusion outlines the need to enhance the explainability features of AI, study cognitive dynamics in decision processes, and work out ethical schemata guiding leading positions for AI. Beyond providing a roadmap for organisations to leverage the interaction of human judgment and machine intelligence to drive and achieve more ethical and effective leadership outcomes, this paper tries to contribute to the ongoing debate on AI-augmented decision-making. © 2025, Creative Publishing House. All rights reserved.",AI-augmented decision-making; algorithm aversion; algorithm machine learning (ML) algorithms; and human-AI collaboration; Cognitive Bias; Data-driven insights; Ethical AI; ethical frameworks; Explainable AI (XAI); human judgment; human-AI collaboration; Hybrid Decision-Making Models; strategies of leaders,,Article,Final,,Scopus,2-s2.0-85218781082
Kathrine Kollerup N.; Johansen S.S.; Tolsgaard M.G.; Lønborg Friis M.; Skov M.B.; van Berkel N.,"Kathrine Kollerup, Naja (57947860400); Johansen, Stine S. (50361380300); Tolsgaard, Martin Grønnebæk (22956300900); Lønborg Friis, Mikkel (58978290500); Skov, Mikael B. (7004242735); van Berkel, Niels (56032304300)",57947860400; 50361380300; 22956300900; 58978290500; 7004242735; 56032304300,Clinical needs and preferences for AI-based explanations in clinical simulation training,2025,Behaviour and Information Technology,44,5,,954,974,20,4,10.1080/0144929X.2024.2334852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001929911&doi=10.1080%2f0144929X.2024.2334852&partnerID=40&md5=8b213c5f791534515483335248862ad2,"Medical training is a key element in maintaining and improving today's healthcare standards. Given the nature of medical work, students must master not only theory but also develop their hands-on abilities and skills in clinical practice. Medical simulators play an increasing role in supporting the active learning of these students due to their ability to present a large variety of tasks allowing students to train and experiment indefinitely without causing any patient harm. While the criticality of explainable AI systems has been extensively discussed in the literature, the medical training context presents unique user needs for explanations. In this paper, we explore the potential gap of current limitations within simulation-based training, and the role Artificial Intelligence (AI) holds in supporting the needs of medical students in training. Through contextual inquiries and interviews with clinicians in training (N = 9) and subsequent validation with medical experts (N = 4), we obtain an understanding of the shortcomings in current simulation-based training and offer recommendations for future AI-driven training. Our results stress the need for continuous and actionable feedback that resembles the interaction between clinical supervisor and resident in real-world training scenarios while adjusting training material to the residents' skills and prior performance. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",AI support systems; clinical; Explanations; feedback; learning; simulation,Artificial intelligence; Artificial intelligence support system; Clinical; Clinical simulation; Explanation; Intelligence-support systems; Learning; Medical training; Simulation; Simulation training; Simulation-based training; Students,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105001929911
Paramasivan P.; Rajest S.S.; Chinnusamy K.; Regin R.; Joseph F.J.J.,"Paramasivan, P. (57190001854); Rajest, S. Suman (57204111477); Chinnusamy, Karthikeyan (57210935104); Regin, R. (57208682999); Joseph, Ferdin Joe John (38661195200)",57190001854; 57204111477; 57210935104; 57208682999; 38661195200,Cross-industry AI applications,2024,Cross-Industry AI Applications,,,,1,389,388,2,10.4018/979-8-3693-5951-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199666214&doi=10.4018%2f979-8-3693-5951-8&partnerID=40&md5=f56330ee69a6dd84e3145f7ea5e1c97b,"The rise of Artificial Intelligence (AI) amidst the backdrop of a world that is changing at lightning speed presents a whole new set of challenges. One of our biggest hurdles is more transparency in AI solutions. It's a complex issue, but one that we need to address if we want to ensure that the benefits of AI are accessible to everyone. Across diverse sectors such as healthcare, surveillance, and human-computer interaction, the inability to understand and evaluate AI's decision-making processes hinders progress and raises concerns about accountability. Cross-Industry AI Applications is a groundbreaking solution to illuminate the mysteries of AI-driven human behavior analysis. This pioneering book addresses the necessity of transparency and explainability in AI systems, particularly in analyzing human behavior. Compiling insights from leading experts and academics offers a comprehensive exploration of state-of-the-art methodologies, benchmarks, and systems for understanding and predicting human behavior using AI. Each chapter delves into novel approaches and real-world applications, from facial expressions to gesture recognition, providing invaluable knowledge for scholars and professionals alike. With its focus on explainable AI and its implications for decision-making, Cross-Industry AI Applications serves as a roadmap for navigating the complexities of human behavior analysis in the age of AI. By offering clarity and insight into AI algorithms and their impact on diverse industries, this book empowers readers to harness the full potential of AI while ensuring accountability and ethical practice. Join the forefront of AI research and innovation - order your copy today and embark on a transformative journey into the future of human-AI interaction. © 2024 by IGI Global. All rights reserved.",,,Book,Final,,Scopus,2-s2.0-85199666214
Dewasiri N.J.; Dharmarathna D.G.; Choudhary M.,"Dewasiri, Narayanage Jayantha (57142582200); Dharmarathna, Dunusinghe G. (59137776000); Choudhary, Mrinalini (58076371100)",57142582200; 59137776000; 58076371100,Leveraging artificial intelligence for enhanced risk management in banking: A systematic literature review,2024,Artificial Intelligence Enabled Management: An Emerging Economy Perspective,,,,197,213,16,5,10.1515/9783111172408013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193833743&doi=10.1515%2f9783111172408013&partnerID=40&md5=9e88db9ae791d08b3a3910e5677f34d0,"This systematic review delves into the transformative role of Artificial Intelligence (AI) in the banking industry's risk management practices. AI, encompassing machine learning, data analytics, and natural language processing, has enhanced risk assessment, mitigation, and decision-making processes. The findings emphasise AI's capacity to identify and assess risks, enabling proactive risk management effectively. Applications like credit scoring models, fraud detection systems, and stress testing tools play instrumental roles in optimising risk management processes. At the same time, the importance of data quality, governance, and transparency cannot be overstated in successfully implementing AI-driven risk management strategies. The implications of AI in banking are profound, offering data-driven procedures, equitable lending practices, and enhanced operational efficiency. However, data privacy concerns, model interpretability issues, and regulatory compliance complexities must be addressed carefully. Emerging trends in AI for risk management encompass Explainable AI, AI-enabled regulatory Compliance, AI for Cybersecurity Risk Management, and Natural Language Processing for Unstructured Data Analysis, along with the optimisation of efficiency through Robotic Process Automation in Risk Operations. Future research should focus on ethical considerations, dynamic stress testing models, AI's role in climate-related risk analysis, human-AI collaboration, cybersecurity risk prediction, and the development of robust regulatory frameworks for AI integration in risk management. AI stands poised to revolutionise banking risk management. Still, responsible and ethical integration is paramount, necessitating collaborative efforts to harness its full potential while ensuring trust and stability within the sector. © 2024 Walter de Gruyter GmbH, Berlin/Boston.",Artificial Intelligence (AI); Banking Industry; Data Analytics; Regulatory Compliance; Risk Management,Artificial intelligence; Climate models; Data Analytics; Decision making; Efficiency; Ethical technology; Information management; Learning algorithms; Natural language processing systems; Regulatory compliance; Risk analysis; Risk assessment; Artificial intelligence; Banking industry; Cyber security; Data analytics; Language processing; Natural languages; Risks management; Stress Testing; Systematic literature review; Systematic Review; Risk management,Book chapter,Final,,Scopus,2-s2.0-85193833743
Alt B.; Zahn J.; Kienle C.; Dvorak J.; May M.; Katic D.; Jäkel R.; Kopp T.; Beetz M.; Lanza G.,"Alt, Benjamin (57222956861); Zahn, Johannes (59147846600); Kienle, Claudius (58343756500); Dvorak, Julia (57741276500); May, Marvin (57654529100); Katic, Darko (36610339700); Jäkel, Rainer (23568193700); Kopp, Tobias (57201388519); Beetz, Michael (36818071500); Lanza, Gisela (23100137400)",57222956861; 59147846600; 58343756500; 57741276500; 57654529100; 36610339700; 23568193700; 57201388519; 36818071500; 23100137400,Human-AI Interaction in Industrial Robotics: Design and Empirical Evaluation of a User Interface for Explainable AI-Based Robot Program Optimization,2024,Procedia CIRP,130,,,591,596,5,0,10.1016/j.procir.2024.10.134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215011175&doi=10.1016%2fj.procir.2024.10.134&partnerID=40&md5=1789c67601d69f87e07eb33e98bf5243,"While recent advances in deep learning have demonstrated its transformative potential, its adoption for real-world manufacturing applications remains limited. We present an Explanation User Interface (XUI) for a state-of-the-art deep learning-based robot program optimizer which provides both naive and expert users with different user experiences depending on their skill level, as well as Explainable AI (XAI) features to facilitate the application of deep learning methods in real-world applications. To evaluate the impact of the XUI on task performance, user satisfaction and cognitive load, we present the results of a preliminary user survey and propose a study design for a large-scale follow-up study. © 2024 The Authors. Published by Elsevier B.V.",deep learning; explainable artificial intelligence; explanation user interfaces; industrial robotics; manufacturing; user study,Contrastive Learning; Industrial robots; Microrobots; Robot programming; Deep learning; Design evaluation; Empirical evaluations; Explainable artificial intelligence; Explanation user interface; Industrial robotics; Real-world; Robot programs; Robotic design; User study; Smart manufacturing,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85215011175
Adhvaryu R.; Agal S.; Odedra N.D.; Rusho M.A.; Pande S.D.,"Adhvaryu, Rachit (56593220000); Agal, Sanjay (57214911342); Odedra, Niyati Dhirubhai (59208764400); Rusho, Maher Ali (59126288100); Pande, Sagar Dhanraj (57213160540)",56593220000; 57214911342; 59208764400; 59126288100; 57213160540,An in-depth exploration of data analysis and processing through the prism of explainable artificial intelligence paradigms,2024,Explainable Artificial Intelligence for Biomedical and Healthcare Applications,,,,249,266,17,0,10.1201/9781003220107-15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210683744&doi=10.1201%2f9781003220107-15&partnerID=40&md5=bc9bdd3e4b9c7eedf6943404d6cfcd50,"This extensive study investigates the complex problem of data processing and analysis through the lens of explainable artificial intelligence (XAI), a highly advanced kind of artificial intelligence. The purpose of this study is to perform a detailed examination of the many functions that XAI plays in shining light on the often-obscure processes that underpin AI-driven data analytics. The major premise of this study is that the openness and understandability given by XAI may significantly improve the performance and accuracy of data interpretation for sophisticated artificial intelligence models. Although the abstract covers a wide range of XAI applications, its major focus is on the relevance of these applications in terms of democratizing data-driven insights and encouraging human–AI trust. The current discussion primarily focuses on the ethical implications, issues associated with the deployment of XAI in various settings, and the prognosis for this rapidly growing business. This article introduces XAI as a cutting-edge technology that has the potential to change data analysis. People and organizations navigating the contemporary world's data-rich environment depend on XAI. © 2025 selection and editorial matter, Aditya Khamparia and Deepak Gupta; individual chapters, the contributors.",,,Book chapter,Final,,Scopus,2-s2.0-85210683744
Zhang Z.T.; Argın S.K.; Bilen M.B.; Urgun D.; Deniz S.M.; Liu Y.; Hassib M.,"Zhang, Zelun Tony (57226128028); Argın, Seniha Ketenci (59445073800); Bilen, Mustafa Baha (59445316100); Urgun, Doğan (57203837845); Deniz, Sencer Melih (34267512700); Liu, Yuanting (57207882809); Hassib, Mariam (56150903100)",57226128028; 59445073800; 59445316100; 57203837845; 34267512700; 57207882809; 56150903100,Measuring the effect of mental workload and explanations on appropriate AI reliance using EEG,2024,Behaviour and Information Technology,,,,,,,0,10.1080/0144929X.2024.2431055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210474451&doi=10.1080%2f0144929X.2024.2431055&partnerID=40&md5=ba19d0ef535559167d943a8b7df57fb8,"AI is anticipated to improve human decision-making across various domains, often in high-stakes, difficult tasks. However, human reliance on AI recommendations is often inappropriate. A common approach to address this is to provide explanations about the AI output to decision makers, but results have been mixed so far. It often remains unclear when people can rely appropriately on AI and when explanations can help. In this work, we conducted a lab experiment (N = 34) to investigate how the appropriateness of human reliance on (explainable) AI depends on the mental workload induced by different decision difficulties. Instead of self-assessments, we used EEG (Emotiv Epoc Flex head cap, 32 wet electrodes) to more directly measure participants' mental workload. We found that the difficulty of a decision, indicated by the induced mental workload, strongly influences participants' ability to rely appropriately on AI, as assessed through relative self-reliance, relative AI reliance, and decision accuracy with and without AI. While reliance was appropriate for low mental workload decisions, participants were prone to overreliance in high mental workload decisions. Explanations had no significant effect in either case. Our results imply that alternatives to the common ‘recommend-and-explain’ approach should be explored to assist human decision-making in challenging tasks. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",appropriate reliance; decision difficulty; EEG; explainable AI; Human-AI decision-making; mental workload,Appropriate reliance; Decision difficulty; Decision makers; Decisions makings; Explainable AI; Human decision-making; Human-AI decision-making; Lab. experiment; Mental workload; Self-assessment,Article,Article in press,,Scopus,2-s2.0-85210474451
