Publication Type,Article Number,Document Type,Article Title,Foreign Title,Authors,Corporate Authors,Source Title,Volume,Issue,Pages,Publication Year,Publication Date,Language,180 Day Usage Count,Since 2013 Usage Count,Abstract,Other Abstract,Addresses,ResearcherID,ORCID Identifier,MeSH Heading,Citation Subsets,Keyword List,Molecular Sequence Data,Gene Symbol,Chemical,Personal Name Subject,Space Flight Mission,Research Areas,ISSN,NLM Unique ID,Country,Grant Information,Record Owner,Status,Investigations,Number of References,Dates,Notes,Published Electronically,General Notes,DOI,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,Accession Number
J,34366701,Journal Article,Explainable recommendation: when design meets trust calibration.,,"Naiseh, Mohammad; Al-Thani, Dena; Jiang, Nan; Ali, Raian",,World wide web,24,5,1857-1884,2021,2021 (Epub 2021 Aug 02),English,7,51,"© The Author(s) 2021.Human-AI collaborative decision-making tools are being increasingly applied in critical domains such as healthcare. However, these tools are often seen as closed and intransparent for human decision-makers. An essential requirement for their success is the ability to provide explanations about themselves that are understandable and meaningful to the users. While explanations generally have positive connotations, studies showed that the assumption behind users interacting and engaging with these explanations could introduce trust calibration errors such as facilitating irrational or less thoughtful agreement or disagreement with the AI recommendation. In this paper, we explore how to help trust calibration through explanation interaction design. Our research method included two main phases. We first conducted a think-aloud study with 16 participants aiming to reveal main trust calibration errors concerning explainability in AI-Human collaborative decision-making tools. Then, we conducted two co-design sessions with eight participants to identify design principles and techniques for explanations that help trust calibration. As a conclusion of our research, we provide five design principles: Design for engagement, challenging habitual actions, attention guidance, friction and support training and learning. Our findings are meant to pave the way towards a more integrated framework for designing explanations with trust calibration as a primary goal.",,"Faculty of Science and Technology, Bournemouth University, Fern Barrow, Poole, BH12 5BB UK.; College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar.","Ali, Raian/HZI-8249-2023; Naiseh, Mohammad/JCE-1911-2023; Naiseh, Mohammad/MCK-3985-2025","Naiseh, Mohammad/0000-0002-4927-5086",,,Explainable AI; Trust; Trust Calibration; User Centric AI,,,,,,,1573-1413,101729120,United States,,,PubMed-not-MEDLINE,,,/ 18 Feb 2022,,02 Aug 2021,,10.1007/s11280-021-00916-0,"Green Accepted, Green Published, hybrid",,,2025-05-29,MEDLINE:34366701
J,38928675,Journal Article; Review,Empowering Modern Dentistry: The Impact of Artificial Intelligence on Patient Care and Clinical Decision Making.,,"Semerci, Zeliha Merve; Yardimci, Selmi",,"Diagnostics (Basel, Switzerland)",14,12,,2024,2024 Jun 14,English,14,29,"Advancements in artificial intelligence (AI) are poised to catalyze a transformative shift across diverse dental disciplines including endodontics, oral radiology, orthodontics, pediatric dentistry, periodontology, prosthodontics, and restorative dentistry. This narrative review delineates the burgeoning role of AI in enhancing diagnostic precision, streamlining treatment planning, and potentially unveiling innovative therapeutic modalities, thereby elevating patient care standards. Recent analyses corroborate the superiority of AI-assisted methodologies over conventional techniques, affirming their capacity for personalization, accuracy, and efficiency in dental care. Central to these AI applications are convolutional neural networks and deep learning models, which have demonstrated efficacy in diagnosis, prognosis, and therapeutic decision making, in some instances surpassing traditional methods in complex cases. Despite these advancements, the integration of AI into clinical practice is accompanied by challenges, such as data security concerns, the demand for transparency in AI-generated outcomes, and the imperative for ongoing validation to establish the reliability and applicability of AI tools. This review underscores the prospective benefits of AI in dental practice, envisioning AI not as a replacement for dental professionals but as an adjunctive tool that fortifies the dental profession. While AI heralds improvements in diagnostics, treatment planning, and personalized care, ethical and practical considerations must be meticulously navigated to ensure responsible development of AI in dentistry.",,"Department of Oral and Maxillofacial Radiology, Faculty of Dentistry, Akdeniz University, Antalya 07070, Turkey.","TUNC, Selmi/B-2959-2018","TUNC, Selmi/0000-0001-9546-6548; SEMERCI, Zeliha Merve/0000-0002-0323-4940",,,artificial intelligence; convolutional neural networks; dentistry; diagnostic accuracy; patient care,,,,,,,2075-4418,101658402,Switzerland,,,PubMed-not-MEDLINE,,,/ 29 Jun 2024,,14 Jun 2024,,10.3390/diagnostics14121260,gold,,,2025-05-29,MEDLINE:38928675
J,34124173,Journal Article,Moral Decision Making in Human-Agent Teams: Human Control and the Role of Explanations.,,"van der Waa, Jasper; Verdult, Sabine; van den Bosch, Karel; van Diggelen, Jurriaan; Haije, Tjalling; van der Stigchel, Birgit; Cocu, Ioana",,Frontiers in robotics and AI,8,,640647,2021,2021,English,3,34,"Copyright © 2021 van der Waa, Verdult, van den Bosch, van Diggelen, Haije, van der Stigchel and Cocu.With the progress of Artificial Intelligence, intelligent agents are increasingly being deployed in tasks for which ethical guidelines and moral values apply. As artificial agents do not have a legal position, humans should be held accountable if actions do not comply, implying humans need to exercise control. This is often labeled as Meaningful Human Control (MHC). In this paper, achieving MHC is addressed as a design problem, defining the collaboration between humans and agents. We propose three possible team designs (Team Design Patterns), varying in the level of autonomy on the agent's part. The team designs include explanations given by the agent to clarify its reasoning and decision-making. The designs were implemented in a simulation of a medical triage task, to be executed by a domain expert and an artificial agent. The triage task simulates making decisions under time pressure, with too few resources available to comply with all medical guidelines all the time, hence involving moral choices. Domain experts (i.e., health care professionals) participated in the present study. One goal was to assess the ecological relevance of the simulation. Secondly, to explore the control that the human has over the agent to warrant moral compliant behavior in each proposed team design. Thirdly, to evaluate the role of agent explanations on the human's understanding in the agent's reasoning. Results showed that the experts overall found the task a believable simulation of what might occur in reality. Domain experts experienced control over the team's moral compliance when consequences were quickly noticeable. When instead the consequences emerged much later, the experts experienced less control and felt less responsible. Possibly due to the experienced time pressure implemented in the task or over trust in the agent, the experts did not use explanations much during the task; when asked afterwards they however considered these to be useful. It is concluded that a team design should emphasize and support the human to develop a sense of responsibility for the agent's behavior and for the team's decisions. The design should include explanations that fit with the assigned team roles as well as the human cognitive state.",,"Perceptual and Cognitive Systems, TNO, Soesterberg, Netherlands.; Interactive Intelligence, Technical University Delft, Delft, Netherlands.; Training and Performance Innovations, TNO, Soesterberg, Netherlands.; Artificial Intelligence, Radboud University, Nijmegen, Nijmegen, Netherlands.","van+Diggelen, Jurriaan/AAJ-1126-2021; van der Waa, Jasper/ITT-0397-2023",,,,artificial intelligence; ethical AI; explainable AI; human study; human-agent teaming; meaningful human control; moral AI; team design patterns,,,,,,,2296-9144,101749350,Switzerland,,,PubMed-not-MEDLINE,,,/ 15 Jun 2021,,27 May 2021,,10.3389/frobt.2021.640647,"Green Published, gold",,,2025-05-29,MEDLINE:34124173
J,36158603,Journal Article,The influence of interdependence and a transparent or explainable communication style on human-robot teamwork.,,"Verhagen, Ruben S; Neerincx, Mark A; Tielman, Myrthe L",,Frontiers in robotics and AI,9,,993997,2022,2022,English,9,41,"Copyright © 2022 Verhagen, Neerincx and Tielman.Humans and robots are increasingly working together in human-robot teams. Teamwork requires communication, especially when interdependence between team members is high. In previous work, we identified a conceptual difference between sharing what you are doing (i.e., being transparent) and why you are doing it (i.e., being explainable). Although the second might sound better, it is important to avoid information overload. Therefore, an online experiment (n = 72) was conducted to study the effect of communication style of a robot (silent, transparent, explainable, or adaptive based on time pressure and relevancy) on human-robot teamwork. We examined the effects of these communication styles on trust in the robot, workload during the task, situation awareness, reliance on the robot, human contribution during the task, human communication frequency, and team performance. Moreover, we included two levels of interdependence between human and robot (high vs. low), since mutual dependency might influence which communication style is best. Participants collaborated with a virtual robot during two simulated search and rescue tasks varying in their level of interdependence. Results confirm that in general robot communication results in more trust in and understanding of the robot, while showing no evidence of a higher workload when the robot communicates or adds explanations to being transparent. Providing explanations, however, did result in more reliance on RescueBot. Furthermore, compared to being silent, only being explainable results a higher situation awareness when interdependence is high. Results further show that being highly interdependent decreases trust, reliance, and team performance while increasing workload and situation awareness. High interdependence also increases human communication if the robot is not silent, human rescue contribution if the robot does not provide explanations, and the strength of the positive association between situation awareness and team performance. From these results, we can conclude that robot communication is crucial for human-robot teamwork, and that important differences exist between being transparent, explainable, or adaptive. Our findings also highlight the fundamental importance of interdependence in studies on explainability in robots.",,"Interactive Intelligence, Intelligent Systems Department, Delft University of Technology, Delft, Netherlands.; Human-Machine Teaming, Netherlands Organization for Applied Scientific Research (TNO), Amsterdam, Netherlands.",,"Tielman, Myrthe/0000-0002-7826-5821; Verhagen, Ruben/0000-0003-2234-0754",,,communication; explainability; explainable AI; human-agent teaming; human-robot teamwork; interdependence; transparency; user study,,,,,,,2296-9144,101749350,Switzerland,,,PubMed-not-MEDLINE,,,/ 28 Sep 2022,,08 Sep 2022,,10.3389/frobt.2022.993997,"gold, Green Published",,,2025-05-29,MEDLINE:36158603
J,39675423,Editorial,Is human oversight to AI systems still possible?,,"Holzinger, Andreas; Zatloukal, Kurt; Muller, Heimo",,New biotechnology,85,,59-62,2025,2025 Mar 25 (Epub 2024 Dec 13),English,10,10,"Copyright © 2024 The Authors. Published by Elsevier B.V. All rights reserved.The rapid proliferation of artificial intelligence (AI) systems across diverse domains raises critical questions about the feasibility of meaningful human oversight, particularly in high-stakes domains such as new biotechnology. As AI systems grow increasingly complex, opaque, and autonomous, ensuring responsible use becomes a formidable challenge. During our editorial work for the special issue Artificial Intelligence for Life Sciences, we placed increasing emphasis on the topic of human oversight. Consequently, in this editorial we briefly discuss the evolving role of human oversight in AI governance, focusing on the practical, technical, and ethical dimensions of maintaining control. It examines how the complexity of contemporary AI architectures, such as large-scale neural networks and generative AI applications, undermine human understanding and decision-making capabilities. Furthermore, it evaluates emerging approaches-such as explainable AI (XAI), human-in-the-loop systems, and regulatory frameworks-that aim to enable oversight while acknowledging their limitations. Through a comprehensive analysis, the picture emerged while complete oversight may no longer be viable in certain contexts, strategic interventions leveraging human-AI collaboration and trustworthy AI design principles can preserve accountability and safety. The discussion highlights the urgent need for interdisciplinary efforts to rethink oversight mechanisms in an era where AI may outpace human comprehension.",,"Human-Centered AI Lab, Institute of Forest Engineering, Department for Ecosystem Management, Climate and Biodiversity, University of Natural Resources and Life Sciences Vienna,Austria; Information Science and Machine Learning Group, Diagnostic and Research Institute of Pathology, Medical University Graz, Austria. Electronic address: andreas.holzinger@boku.ac.at.; Information Science and Machine Learning Group, Diagnostic and Research Institute of Pathology, Medical University Graz,Austria.","Holzinger, Andreas/E-9530-2010",,*Artificial Intelligence / ethics. Humans,Index Medicus,Artificial intelligence; Biotechnology; Deep learning; Digital transformation; Machine learning,,,,,,Computer Science (provided by Clarivate Analytics),1876-4347,101465345,Netherlands,,,MEDLINE,,,/ 07 Feb 2025 / 19 May 2025,,13 Dec 2024,,10.1016/j.nbt.2024.12.003,gold,,,2025-05-29,MEDLINE:39675423
J,38755410,Journal Article,A retrieval-augmented chatbot based on GPT-4 provides appropriate differential diagnosis in gastrointestinal radiology: a proof of concept study.,,"Rau, Stephan; Rau, Alexander; Nattenmuller, Johanna; Fink, Anna; Bamberg, Fabian; Reisert, Marco; Russe, Maximilian F",,European radiology experimental,8,1,60,2024,2024 May 17,English,5,9,"© 2024. The Author(s).BACKGROUND: We investigated the potential of an imaging-aware GPT-4-based chatbot in providing diagnoses based on imaging descriptions of abdominal pathologies.METHODS: Utilizing zero-shot learning via the LlamaIndex framework, GPT-4 was enhanced using the 96 documents from the Radiographics Top 10 Reading List on gastrointestinal imaging, creating a gastrointestinal imaging-aware chatbot (GIA-CB). To assess its diagnostic capability, 50 cases on a variety of abdominal pathologies were created, comprising radiological findings in fluoroscopy, MRI, and CT. We compared the GIA-CB to the generic GPT-4 chatbot (g-CB) in providing the primary and 2 additional differential diagnoses, using interpretations from senior-level radiologists as ground truth. The trustworthiness of the GIA-CB was evaluated by investigating the source documents as provided by the knowledge-retrieval mechanism. Mann-Whitney U test was employed.RESULTS: The GIA-CB demonstrated a high capability to identify the most appropriate differential diagnosis in 39/50 cases (78%), significantly surpassing the g-CB in 27/50 cases (54%) (p=0.006). Notably, the GIA-CB offered the primary differential in the top 3 differential diagnoses in 45/50 cases (90%) versus g-CB with 37/50 cases (74%) (p=0.022) and always with appropriate explanations. The median response time was 29.8s for GIA-CB and 15.7s for g-CB, and the mean cost per case was $0.15 and $0.02, respectively.CONCLUSIONS: The GIA-CB not only provided an accurate diagnosis for gastrointestinal pathologies, but also direct access to source documents, providing insight into the decision-making process, a step towards trustworthy and explainable AI. Integrating context-specific data into AI models can support evidence-based clinical decision-making.RELEVANCE STATEMENT: A context-aware GPT-4 chatbot demonstrates high accuracy in providing differential diagnoses based on imaging descriptions, surpassing the generic GPT-4. It provided formulated rationale and source excerpts supporting the diagnoses, thus enhancing trustworthy decision-support.KEY POINTS: Knowledge retrieval enhances differential diagnoses in a gastrointestinal imaging-aware chatbot (GIA-CB). GIA-CB outperformed the generic counterpart, providing formulated rationale and source excerpts. GIA-CB has the potential to pave the way for AI-assisted decision support systems.",,"Department of Diagnostic and Interventional Radiology, Faculty of Medicine, Medical Center - University of Freiburg, University of Freiburg, 79106, Freiburg Im Breisgau, Germany. stephan.rau@uniklinik-freiburg.de.; Department of Diagnostic and Interventional Radiology, Faculty of Medicine, Medical Center - University of Freiburg, University of Freiburg, 79106, Freiburg Im Breisgau, Germany.; Department of Neuroradiology, Faculty of Medicine, Medical Center - University of Freiburg, University of Freiburg, Hugstetter Str. 55, 79106, Freiburg Im Breisgau, Germany.","Nattenmuller, Johanna/GNH-5653-2022; Fink, Anna/KLY-9411-2024; Rau, Alexander/AAK-3948-2021","Fink, Anna/0009-0002-9903-283X; Rau, Stephan/0000-0002-8992-2401","*Artificial Intelligence. Diagnosis, Differential. *Gastrointestinal Diseases / diagnostic imaging. Humans. *Proof of Concept Study",Index Medicus,Artificial intelligence; Diagnosis (differential); Gastrointestinal diseases; Knowledge acquisition (computer); Zero-shot learning,,,,,,Gastroenterology & Hepatology; Computer Science (provided by Clarivate Analytics),2509-9280,101721752,England,,,MEDLINE,,,/ 16 May 2024 / 14 Aug 2024,,17 May 2024,,10.1186/s41747-024-00457-x,gold,,,2025-05-29,MEDLINE:38755410
J,38579495,Journal Article,AI and the transformation of industrial work: Hybrid intelligence vs double-black box effect.,,"Wahlstrom, Mikael; Tammentie, Bastian; Salonen, Tuisku-Tuuli; Karvonen, Antero",,Applied ergonomics,118,,104271,2024,2024 Jul (Epub 2024 Apr 04),English,19,30,"Copyright © 2024. Published by Elsevier Ltd.It is uncertain how the application of artificial intelligence (AI) technology transforms industrial work. We address this question from the perspective of cognitive systems, which, in this case, includes considerations of AI and process transparency, resilience, division of labor, and worker skills. We draw from a case study on glass tempering that includes a machine-vision-based quality control system and an advanced automation process control system. Based on task analysis and background literature, we develop the concept of hybrid intelligence that implies balanced AI transparency that supports upskilling and resilience. So-called fragmented intelligence, in turn, may result from the combination of the complexity of advanced automation along with the complexity of the process physics that places critical emphasis on expert knowledge. This combination can result in the so-called double black box effect, given that designing for understandability for the line workers might not be feasible: expert networks are needed for resilience.",,"VTT Technical Research Centre of Finland Ltd., Espoo, Finland. Electronic address: mikael.wahlstrom@vtt.fi.; VTT Technical Research Centre of Finland Ltd., Espoo, Finland.",,"Salonen, Tuisku/0000-0002-9528-1735; Karvonen, Antero/0000-0001-8032-2947",*Artificial Intelligence. Automation. Glass. Humans. Industry. Task Performance and Analysis,Index Medicus,Artificial intelligence; Glass tempering; Hybrid intelligence; Industrial processes; Resilience; Task analysis,,,,,,Computer Science; Psychology; Behavioral Sciences; Business & Economics; Automation & Control Systems (provided by Clarivate Analytics),1872-9126,261412,England,,,MEDLINE,,,/ 01 May 2024 / 01 May 2024,,04 Apr 2024,,10.1016/j.apergo.2024.104271,,,,2025-05-29,MEDLINE:38579495
J,36568208,Journal Article,A human-in-the-loop based Bayesian network approach to improve imbalanced radiation outcomes prediction for hepatocellular cancer patients with stereotactic body radiotherapy.,,"Luo, Yi; Cuneo, Kyle C; Lawrence, Theodore S; Matuszak, Martha M; Dawson, Laura A; Niraula, Dipesh; Ten Haken, Randall K; El Naqa, Issam",,Frontiers in oncology,12,,1061024,2022,2022,English,1,6,"Copyright © 2022 Luo, Cuneo, Lawrence, Matuszak, Dawson, Niraula, Ten Haken and El Naqa.Background: Imbalanced outcome is one of common characteristics of oncology datasets. Current machine learning approaches have limitation in learning from such datasets. Here, we propose to resolve this problem by utilizing a human-in-the-loop (HITL) approach, which we hypothesize will also lead to more accurate and explainable outcome prediction models.Methods: A total of 119 HCC patients with 163 tumors were used in the study. 81 patients with 104 tumors from the University of Michigan Hospital treated with SBRT were considered as a discovery dataset for radiation outcomes model building. The external testing dataset included 59 tumors from 38 patients with SBRT from Princess Margaret Hospital. In the discovery dataset, 100 tumors from 77 patients had local control (LC) (96% of 104 tumors) and 23 patients had at least one grade increment of ALBI (I-ALBI) during six-month follow up (28% of 81 patients). Each patient had a total of 110 features, where 15 or 20 features were identified by physicians as expert knowledge features (EKFs) for LC or I-ALBI prediction. We proposed a HITL based Bayesian network (HITL-BN) approach to enhance the capability of selecting important features from imbalanced data in terms of accuracy and explainability through humans' participation by integrating feature importance ranking and Markov blanket algorithms. A pure data-driven Bayesian network (PD-BN) method was applied to the same discovery dataset of HCC patients as a benchmark.Results: In the training and testing phases, the areas under receiver operating characteristic curves of the HITL-BN models for LC or I-ALBI prediction during SBRT are 0.85 (95% confidence interval: 0.75-0.95) or 0.89 (0.81-0.95) and 0.77 or 0.78, respectively. They significantly outperformed the during-treatment PD-BN model in predicting LC or I-ALBI based on the discovery cross-validation and testing datasets from the Delong tests.Conclusion: By allowing the human expert to be part of the model building process, the HITL-BN approach yielded significantly improved accuracy as well as better explainability when dealing with imbalanced outcomes in the prediction of post-SBRT treatment response of HCC patients when compared to the PD-BN method.",,"Department of Machine Learning, Moffitt Cancer Center, Tampa, FL, United States.; Department of Radiation Oncology, University of Michigan, Ann Arbor, MI, United States.; Department of Radiation Oncology, University of Toronto, Toronto, ON, Canada.","Naqa, Issam/T-3066-2019; Cuneo, Kyle/DZG-3141-2022; Niraula, Dipesh/AAE-6536-2020","LAWRENCE, THEODORE S./0000-0002-4186-8821; Niraula, Dipesh/0000-0002-2245-8536; Cuneo, Kyle/0000-0002-8264-6483; Matuszak, Martha/0000-0002-4129-1030",,,Bayesian networks; accuracy and explainability; hepatocellular cancer; human-in-the-loop; outcome prediction; stereotactic body radiotherapy,,,,,,,2234-943X,101568867,Switzerland,R01 CA233487 / NCI NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI),,PubMed-not-MEDLINE,,,/ 11 Apr 2023,,09 Dec 2022,,10.3389/fonc.2022.1061024,"Green Published, gold",,,2025-05-29,MEDLINE:36568208
J,36605113,Journal Article,The key to an effective AI-powered digital pathology: Establishing a symbiotic workflow between pathologists and machine.,,"Jarrahi, Mohammad Hossein; Davoudi, Vahid; Haeri, Mohammad",,Journal of pathology informatics,13,,100156,2022,2022,English,1,1,"© 2022 The Authors.Pathology is a fundamental element of modern medicine that determines the final diagnosis of medical conditions, leads medical decisions, and portrays the prognosis. Due to continuous improvements in AI capabilities (e.g., object recognition and image processing), intelligent systems are bound to play a key role in augmenting pathology research and clinical practices. Despite the pervasive deployment of computational approaches in similar fields such as radiology, there has been less success in integrating AI in clinical practices and histopathological diagnosis. This is partly due to the opacity of end-to-end AI systems, which raises issues of interoperability and accountability of medical practices. In this article, we draw on interactive machine learning to take advantage of AI in digital pathology to open the black box of AI and generate a more effective partnership between pathologists and AI systems based on the metaphors of parameterization and implicitization.",,"University of North Carolina, 100 Manning Hall, Chapel Hill, NC 27599, USA.; Alzheimer Disease Research Center, University of Kansas, Kansas University Medical Center, Kansas City, Kansas, USA.; Department of Pathology & Laboratory Medicine, University of Kansas Medical Center, Kansas City, Kansas, USA.",,"Haeri, Mohammad/0000-0001-6055-9779",,,Artificial intelligence; Computational pathology; Digital pathology; Explainable AI; Human-in-the-loop; Image analysis,,,,,,,2229-5089,101528849,United States,,,PubMed-not-MEDLINE,,,/ 07 Jan 2023,,10 Nov 2022,,10.1016/j.jpi.2022.100156,"Green Published, gold",,,2025-05-29,MEDLINE:36605113
J,39074956,Journal Article,AI and XAI second opinion: the danger of false confirmation in human-AI collaboration.,,"Rosenbacke, Rikard; Melhus, Asa; McKee, Martin; Stuckler, David",,Journal of medical ethics,51,6,396-399,2025,2025 May 21,English,12,22,"© Author(s) (or their employer(s)) 2025. No commercial re-use. See rights and permissions. Published by BMJ Group.Can AI substitute a human physician's second opinion? Recently the Journal of Medical Ethics published two contrasting views: Kempt and Nagel advocate for using artificial intelligence (AI) for a second opinion except when its conclusions significantly diverge from the initial physician's while Jongsma and Sand argue for a second human opinion irrespective of AI's concurrence or dissent. The crux of this debate hinges on the prevalence and impact of 'false confirmation'-a scenario where AI erroneously validates an incorrect human decision. These errors seem exceedingly difficult to detect, reminiscent of heuristics akin to confirmation bias. However, this debate has yet to engage with the emergence of explainable AI (XAI), which elaborates on why the AI tool reaches its diagnosis. To progress this debate, we outline a framework for conceptualising decision-making errors in physician-AI collaborations. We then review emerging evidence on the magnitude of false confirmation errors. Our simulations show that they are likely to be pervasive in clinical practice, decreasing diagnostic accuracy to between 5% and 30%. We conclude with a pragmatic approach to employing AI as a second opinion, emphasising the need for physicians to make clinical decisions before consulting AI; employing nudges to increase awareness of false confirmations and critically engaging with XAI explanations. This approach underscores the necessity for a cautious, evidence-based methodology when integrating AI into clinical decision-making.",,"Centre for Corporate Governance, Department of Accounting, Copenhagen Business School, Frederiksberg, Denmark rikard@rosenbacke.com.; Department of Medical Sciences, Uppsala University, Uppsala, Sweden.; Department of Health Services Research and Policy, London School of Hygiene and Tropical Medicine, London, UK.; Department of Social and Political Science, Bocconi University, Milano, Italy.","Stuckler, David/H-2261-2012; McKee, Martin/E-6673-2018","Stuckler, David/0000-0002-1288-8401; Rosenbacke, Rikard/0009-0007-4504-9106",*Artificial Intelligence / ethics. *Clinical Decision-Making / ethics. Cooperative Behavior. *Decision Making / ethics. Diagnostic Errors. Humans. *Physicians / ethics,Index Medicus,Decision Making; Ethics- Medical; Information Technology; Medical Errors,,,,,,Computer Science; Behavioral Sciences; Psychology (provided by Clarivate Analytics),1473-4257,7513619,England,,,MEDLINE,,,/ 21 May 2025 / 21 May 2025,,21 May 2025,,10.1136/jme-2024-110074,,,,2025-05-29,MEDLINE:39074956
J,39292314,Journal Article,Identifying Facilitators and Barriers to Implementation of AI-Assisted Clinical Decision Support in an Electronic Health Record System.,,"Finkelstein, Joseph; Gabriel, Aileen; Schmer, Susanna; Truong, Tuyet-Trinh; Dunn, Andrew",,Journal of medical systems,48,1,89,2024,2024 Sep 18,English,7,8,"© 2024. The Author(s).Recent advancements in computing have led to the development of artificial intelligence (AI) enabled healthcare technologies. AI-assisted clinical decision support (CDS) integrated into electronic health records (EHR) was demonstrated to have a significant potential to improve clinical care. With the rapid proliferation of AI-assisted CDS, came the realization that a lack of careful consideration of socio-technical issues surrounding the implementation and maintenance of these tools can result in unanticipated consequences, missed opportunities, and suboptimal uptake of these potentially useful technologies. The 48-h Discharge Prediction Tool (48DPT) is a new AI-assisted EHR CDS to facilitate discharge planning. This study aimed to methodologically assess the implementation of 48DPT and identify the barriers and facilitators of adoption and maintenance using the validated implementation science frameworks. The major dimensions of RE-AIM (Reach, Effectiveness, Adoption, Implementation, Maintenance) and the constructs of the Consolidated Framework for Implementation Research (CFIR) frameworks have been used to analyze interviews of 24 key stakeholders using 48DPT. The systematic assessment of the 48DPT implementation allowed us to describe facilitators and barriers to implementation such as lack of awareness, lack of accuracy and trust, limited accessibility, and transparency. Based on our evaluation, the factors that are crucial for the successful implementation of AI-assisted EHR CDS were identified. Future implementation efforts of AI-assisted EHR CDS should engage the key clinical stakeholders in the AI tool development from the very inception of the project, support transparency and explainability of the AI models, provide ongoing education and onboarding of the clinical users, and obtain continuous input from clinical staff on the CDS performance.",,"Department of Biomedical Informatics, University of Utah, 421 Wakara Way, Rm. 2028, Salt Lake City, UT, 84108, USA. Joseph.Finkelstein@utah.edu.; Department of Biomedical Informatics, University of Utah, 421 Wakara Way, Rm. 2028, Salt Lake City, UT, 84108, USA.; Department of Case Management, Mount Sinai Health System, New York, NY, USA.; Division of Hospital Medicine, Icahn School of Medicine at Mount Sinai, New York, NY, USA.",,,"*Artificial Intelligence. *Decision Support Systems, Clinical / organization & administration. *Electronic Health Records / organization & administration. Humans. Patient Discharge",Index Medicus,Artificial Intelligence; Clinical Decision Support; Electronic Health Record; Implementation Science; Socio-Technical Factors,,,,,,Health Care Sciences & Services; Medical Informatics; Computer Science (provided by Clarivate Analytics),1573-689X,7806056,United States,R33 HL143317 / NHLBI NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI). R33HL143317 / NHLBI NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI),,MEDLINE,,,/ 18 Sep 2024 / 05 Feb 2025,,18 Sep 2024,,10.1007/s10916-024-02104-9,hybrid,,,2025-05-29,MEDLINE:39292314
