ieee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Unpacking Human-AI Interaction in Safety-Critical Industries: A Systematic Literature Review,T. A. Bach; J. K. Kristiansen; A. Babic; A. Jacovi,"Group Research and Development, DNV, Høvik, Norway; Group Research and Development, DNV, Høvik, Norway; Group Research and Development, DNV, Høvik, Norway; Department of Computer Science, Bar Ilan University, Ramat Gan, Israel",IEEE Access,9 Aug 2024,2024,12,,106385,106414,"Ensuring quality human-AI interaction (HAII) in safety-critical industries is essential. Failure to do so can lead to catastrophic and deadly consequences. Despite this urgency, existing research on HAII is limited, fragmented, and inconsistent. We present here a survey of that literature and recommendations for research best practices that should improve the field. We divided our investigation into the following areas: 1) terms used to describe HAII, 2) primary roles of AI-enabled systems, 3) factors that influence HAII, and 4) how HAII is measured. Additionally, we described the capabilities and maturity of the AI-enabled systems used in safety-critical industries discussed in these articles. We found that no single term is used across the literature to describe HAII and some terms have multiple meanings. According to our literature, seven factors influence HAII: user characteristics (e.g., user personality), user perceptions and attitudes (e.g., user biases), user expectations and experience (e.g., mismatched user expectations and experience), AI interface and features (e.g., interactive design), AI output (e.g., perceived accuracy), explainability and interpretability (e.g., level of detail, user understanding), and usage of AI (e.g., heterogeneity of environments). HAII is most measured with user-related subjective metrics (e.g., user perceptions, trust, and attitudes), and AI-assisted decision-making is the most common primary role of AI-enabled systems. Based on this review, we conclude that there are substantial research gaps in HAII. Researchers and developers need to codify HAII terminology, involve users throughout the AI lifecycle (especially during development), and tailor HAII in safety-critical industries to the users and environments.",2169-3536,,10.1109/ACCESS.2024.3437190,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10620168,Artificial intelligence;humans;measurement;methods;safety;safety-critical;society;survey;systematic literature review;technology readiness level;user,Artificial intelligence;Industries;Reviews;Task analysis;Medical services;Terminology;Safety;Human factors;Systematic literature review,,4,,145,CCBYNCND,1 Aug 2024,,,IEEE,IEEE Journals
User-Centric Explainability in Healthcare: A Knowledge-Level Perspective of Informed Machine Learning,L. Oberste; A. Heinzl,"University of Mannheim, Mannheim, Germany; University of Mannheim, Mannheim, Germany",IEEE Transactions on Artificial Intelligence,21 Jul 2023,2023,4,4,840,857,"Explaining increasingly complex machine learning will remain crucial to cope with risks, regulations, responsibilities, and human support in healthcare. However, extant explainable systems mostly provide explanations that mismatch clinical users’ conceptions and fail their expectations to leverage validated and clinically relevant information. A key to more user-centric and satisfying explanations can be seen in combining data-driven and knowledge-based systems, i.e., to utilize prior knowledge jointly with the patterns learned from data. We conduct a structured review of knowledge-informed machine learning in healthcare. In this article, we build on a framework to characterize user knowledge and prior knowledge embodied in explanations. Specifically, we explicate the types and contexts of knowledge to examine the fit between knowledge-informed approaches and users. Our results highlight that knowledge-informed machine learning is a promising paradigm to enrich former data-driven systems, yielding explanations that can increase formal understanding, convey useful medical knowledge, and are more intuitive. Although complying with medical conception, it still needs to be investigated whether knowledge-informed explanations increase medical user acceptance and trust in clinical machine learning-based information systems.",2691-4581,,10.1109/TAI.2022.3227225,OLIE; German Federal Ministry of Education and Research; Initiative “Research Campus – Public-Private Partnership for Innovation(grant numbers:13GW0387A);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9971460,Artificial intelligence (AI) in medicine;explainable AI;human-centered AI;interpretable AI;knowledge-based systems;machine learning,Artificial intelligence;Medical diagnostic imaging;Medical services;Machine learning;Diseases;Data models;Predictive models,,12,,145,IEEE,6 Dec 2022,,,IEEE,IEEE Journals
Empowering Adaptive Human Autonomy Collaboration with Artificial Intelligence,C. Alix; D. Lafond; J. Mattioli; J. D. Heer; M. Chattington; P. -O. Robic,"Thales, Palaiseau, France; Thales Research & Technology, Quebec, Canada; Thales, Palaiseau, France; Thales Research & Technology Thales NL, Hengelo, Netherlands; Research, Technology & Innovation Thales UK, Reading, United Kingdom; Thales Global Services Thales, Velizy, France",2021 16th International Conference of System of Systems Engineering (SoSE),30 Jul 2021,2021,,,126,131,"We can now see examples emerge of intelligent distributed hybrid systems with autonomous functions pursuing a specific goal while adapting dynamically to changing environments. Such solutions are made possible by convergence of new technologies, but achieving comprehensive monitoring of the multiple interactions in their organization and functions along their life cycles, in missions and/or safety critical contexts, still challenges system (of systems) engineering practices. This paper considers the main gaps towards trusted systems of systems, including human-AI collaboration, human-machine teaming and solution effectiveness monitoring in a life cycle perspective. These gaps call for an inter-disciplinary sociotechnical approach in engineering towards Adjustable Human Autonomy Collaboration (DUAL), whose justification is outlined in this position paper.",,978-1-6654-4454-5,10.1109/SOSE52739.2021.9497497,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9497497,Human machine teaming;autonomy;adaptive automation;trust;artificial intelligence,Adaptive systems;Collaboration;Organizations;Safety;Artificial intelligence;Monitoring;Man-machine systems,,2,,25,IEEE,30 Jul 2021,,,IEEE,IEEE Conferences
Bridging Data and AIOps for Future AI Advancements with Human-in-the-Loop. The AI-DAPT Concept,S. Koussouris; T. Dalamagas; P. Figueiras; G. Pallis; N. Bountouni; V. Gkolemis; K. Perakis; D. Bibikas; C. Agostinho,"Suite5 Data Intelligence Solutions Limited, Limassol, Cyprus; Information Management Systems Institute (IMSI), Athena Research Center, ATHENA, Marousi, Greece; Intelligent Systems Associate Laboratory (LASI), Center of Technology and Systems (CTS), UNINOVA, Caparica, Portugal; University of Cyprus, Nicosia, Cyprus; Suite5 Data Intelligence Solutions Limited, Limassol, Cyprus; Information Management Systems Institute (IMSI), Athena Research Center, ATHENA, Marousi, Greece; UBITECH, Athens, Greece; Gas Supply Company Thessaloniki - Thessalia Single Member S.A., ZENITH, Thessaloniki, Greece; Intelligent Systems Associate Laboratory (LASI), Center of Technology and Systems (CTS), UNINOVA, Caparica, Portugal","2024 IEEE International Conference on Engineering, Technology, and Innovation (ICE/ITMC)",18 Dec 2024,2024,,,1,8,"The transition of artificial intelligence (AI) from research to deployment has underscored the critical importance of leveraging data effectively in developing and evaluating AI models. Despite their pivotal role in determining performance, fairness, and robustness, data are often undervalued in AI research, lacking a data-centric focus. In response, the AI-DAPT project pioneers a data-centric approach that aligns with AI methodologies to address the pressing need for reliable and trustworthy AI systems. This paper presents the AI-DAPT project and concept, highlighting its innovative solutions. Through advanced techniques like synthetic data generation and hybrid science-guided Machine Learning (ML), AI-DAPT aims to mitigate vulnerabilities in conventional AI paradigms. The developed solutions will be demonstrated in healthcare, robotics, energy, and manufacturing scenarios, hence navigating real-world complexities.",2693-8855,979-8-3503-6243-5,10.1109/ICE/ITMC61926.2024.10794334,European Union(grant numbers:101135826);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10794334,AI pipelines;Data pipelines;Data for AI;Hybrid Science-Guided AI,Technological innovation;Navigation;Pressing;Medical services;Machine learning;Robustness;Manufacturing;Artificial intelligence;Robots;Synthetic data,,,,36,IEEE,18 Dec 2024,,,IEEE,IEEE Conferences
Industry 5.0 and Operations Management—the Importance of Human Factors,F. Lindner; G. Reiner,"Faculty of Business Administration and Engineering, Zittau/Görlitz University of Applied Sciences, Zittau, Germany; Department of Information Systems and Operations Management, Vienna University of Economics and Business, Vienna, Austria",NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,21 Jun 2023,2023,,,1,4,"In this position paper, we highlight the importance of human factors, especially cognition, for operations management during the transition from Industry 4.0 to 5.0 and within. We argue that the increasing prevalence of (digital) technology and data for manufacturing operations urges human-centered approaches and solutions, as well—to enable efficient and effective operations that benefit from both humans' and technologies' strengths. To stress our point, we give examples from behavioral operations management where technology may both foster or mitigate deviations from rational decision-making. In addition, we show prospects of human-AI interaction and explainable AI, specifically by using visualizations, to improve operational performance.",2374-9709,978-1-6654-7716-1,10.1109/NOMS56928.2023.10154282,Horizon Europe; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154282,human factors;behavioral manufacturing operations management;Industry 5.0;cognitive biases;visualizations,Industries;Sociotechnical systems;Software algorithms;Decision making;Bills of materials;Data visualization;Human factors,,2,,40,IEEE,21 Jun 2023,,,IEEE,IEEE Conferences
Depicting Decision-Making: A Type-2 Fuzzy Logic Based Explainable Artificial Intelligence System for Goal-Driven Simulation in the Workforce Allocation Domain,E. Ferreyra; H. Hagras; M. Kern; G. Owusu,"The Computational Intelligence Centre, School of Computer Science and Electronic Engineering, University of Essex, Colchester, UK; The Computational Intelligence Centre, School of Computer Science and Electronic Engineering, University of Essex, Colchester, UK; Applied Research, BT, Adastral Park, Martlesham Heath, Ipswich, UK; Applied Research, BT, Adastral Park, Martlesham Heath, Ipswich, UK",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),11 Oct 2019,2019,,,1,6,"The recent years have witnessed a growing anticipation for the positive transformation of industries which adopt Artificial Intelligence (AI) for the core areas of their business activities. However, the effectiveness and reliability of such AI systems must comprise the ability to explain their data acquisition, the underlying algorithms operations and the final decisions to stakeholders, including regulators, risk managers, supervisors and end-users among others. There are plenty of areas where Explainable AI (XAI) holds the promise to be a major disruptor. Particularly, in Telecommunication Service Providers (TSPs) which is a core business activity relating to the workforce allocation domain, which, involves costly and time-consuming scheduling processes. This paper focuses on the construction of an XAI framework to assist workforce allocation based on a big bang- big crunch interval type-2 fuzzy logic system (BB-BC IT2FLS) for modelling and scaling goal-driven simulation (GDS) problems, specifically within the telecommunications industry. The obtained results reported the proposed XAI system produces similar results to opaque box models like Neural Networks (NNs) and LSTM Recurrent NNs while being able to explain the decision and operation of the employed system.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858933,Explainable AI;interval type-2 fuzzy logic systems;goal-driven simulation;big bang-big crunch,Artificial intelligence;Fuzzy logic;Resource management;Fuzzy sets;Uncertainty;Computational modeling,,7,,32,IEEE,11 Oct 2019,,,IEEE,IEEE Conferences
Enabling Human-Centered AI: A Methodological Perspective,W. Xu; Z. Gao,"Center for Psychological Sciences, Zhejiang University, Hangzhou, China; Dept. of Psychology and Behavioral Sciences, Zhejiang University, Hangzhou, China",2024 IEEE 4th International Conference on Human-Machine Systems (ICHMS),19 Jun 2024,2024,,,1,6,"Human-centered AI (HCAI) is a design philosophy that advocates prioritizing humans in designing, developing, and deploying intelligent systems, aiming to maximize the benefits of AI to humans and avoid potential adverse effects. While HCAI continues to influence, the lack of guidance on methodology in practice makes its adoption challenging. This paper proposes a comprehensive HCAI framework based on our previous work with integrated components, including design goals, design principles, implementation approaches, interdisciplinary teams, HCAI methods, and HCAI processes. This paper also presents a “three-layer” approach to facilitate the implementation of the framework. We believe this systematic and executable framework can overcome the weaknesses in current HCAI frameworks and the challenges currently faced in practice, putting it into action to enable HCAI further.",,979-8-3503-1579-0,10.1109/ICHMS59971.2024.10555771,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10555771,Artificial intelligence;methodology;human-centered artificial intelligence;design goal;principle;process,Philosophical considerations;Systematics;Human-machine systems;Intelligent systems,,2,,26,IEEE,19 Jun 2024,,,IEEE,IEEE Conferences
Generative Adversarial Network-Based Network Intrusion Detection System for Supervisory Control and Data Acquisition System,H. N. Nguyen; T. Lan-Phan; C. -J. Song,"Department of AI and Software Engineering, School of Computing, Gachon University, Seongnam-si, Gyeonggi-do, Republic of Korea; Division of Information Technology, Viet Nam - Korea Institute of Science and Technology, Thach That, Ha Noi, Vietnam; Information Media Research Center, Korea Electronics Technology Institute, Seoul, Korea",2024 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),10 Dec 2024,2024,,,1,3,"In the context of burgeoning cyber threats targeting Supervisory Control and Data Acquisition (SCADA) systems, this paper presents a pioneering Intrusion Detection System (IDS) grounded in Generative Adversarial Networks (GANs). The ubiquity of information technology in critical industrial processes necessitates heightened security measures, and the proposed model addresses this imperative through the fusion of GANs and IDS tailored for SCADA environments. The study delves into the evolutionary trajectory of Intrusion Detection Systems, tracing their progression from conventional signature-based methods to the adaptive capabilities afforded by artificial intelligence, particularly deep learning. Against this backdrop, the paper investigates the vulnerabilities of SCADA systems, elucidating the sophisticated attack vectors identified in recent studies. The distributed nature of SCADA systems, deployed across extensive industrial landscapes, accentuates the need for robust intrusion detection mechanisms. This research's core innovation lies in applying a GAN model to SCADA systems, leveraging the distributed network protocol version 3 (DNP3) for data access authorization. The model is trained on a dataset comprising 12 meticulously selected features from DNP3 packets, attuning it to the nuances of SCADA network traffic. Notably, the proposed GAN-based IDS demonstrates exceptional efficacy, achieving impressive accuracy. Beyond the empirical contributions, the paper envisions future directions for integrating explainable AI techniques and enhancing the interpretability of IDS models specific to SCADA environments. Moreover, collaboration between academia and industry is advocated to foster the development of comprehensive datasets that represent SCADA network traffic.",,979-8-3315-3083-9,10.1109/ICCE-Asia63397.2024.10773791,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10773791,Network Intrusion Detection System;IDS;SCADA;Generative Adversarial Networks;DNP3,Deep learning;Protocols;Accuracy;SCADA systems;Network intrusion detection;Telecommunication traffic;Generative adversarial networks;Vectors;Trajectory;Security,,1,,9,IEEE,10 Dec 2024,,,IEEE,IEEE Conferences
Colosseum: The Open RAN Digital Twin,M. Polese; L. Bonati; S. D'Oro; P. Johari; D. Villa; S. Velumani; R. Gangula; M. Tsampazi; C. Paul Robinson; G. Gemmi; A. Lacava; S. Maxenti; H. Cheng; T. Melodia,"Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA; Institute for the Wireless Internet of Things, Northeastern University, Boston, MA, USA",IEEE Open Journal of the Communications Society,10 Sep 2024,2024,5,,5452,5466,"Recent years have witnessed the Open Radio Access Network (RAN) paradigm transforming the fundamental ways cellular systems are deployed, managed, and optimized. This shift is led by concepts such as openness, softwarization, programmability, interoperability, and intelligence of the network, which have emerged in wired networks through Software-defined Networking (SDN) but lag behind in cellular systems. The realization of the Open RAN vision into practical architectures, intelligent data-driven control loops, and efficient software implementations, however, is a multifaceted challenge, which requires (i) datasets to train Artificial Intelligence (AI) and Machine Learning (ML) models; (ii) facilities to test models without disrupting production networks; (iii) continuous and automated validation of the RAN software; and (iv) significant testing and integration efforts. This paper is a tutorial on how Colosseum—the world’s largest wireless network emulator with hardware in the loop—can provide the research infrastructure and tools to fill the gap between the Open RAN vision, and the deployment and commercialization of open and programmable networks. We describe how Colosseum implements an Open RAN digital twin through a high-fidelity Radio Frequency (RF) channel emulator and endto- end softwarized O-RAN and 5G-compliant protocol stacks, thus allowing users to reproduce and experiment upon topologies representative of real-world cellular deployments. Then, we detail the twinning infrastructure of Colosseum, as well as the automation pipelines for RF and protocol stack twinning. Finally, we showcase a broad range of Open RAN use cases implemented on Colosseum, including the real-time connection between the digital twin and real-world networks, and the development, prototyping, and testing of AI/ML solutions for Open RAN.",2644-125X,,10.1109/OJCOMS.2024.3447472,"O-RAN ALLIANCE; National Science Foundation(grant numbers:CNS-1925601,CNS-2112471); National Telecommunications and Information Administration (NTIA)’s Public Wireless Supply Chain Innovation Fund (PWSCIF)(grant numbers:25-60-IF011,25-60-IF054); OUSD(R&E) through Army Research Laboratory Cooperative Agreement(grant numbers:W911NF-19-2-0221);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10643670,O-RAN;Open RAN;wireless network emulation;5G;6G,Open RAN;Digital twins;Radio frequency;Containers;Testing;Software;Protocols,,9,,85,CCBY,22 Aug 2024,,,IEEE,IEEE Journals
Resilience Scores for Decision Support Using Wearable Biosignal Data with Requirements on Fair and Transparent AI,L. Paletta; H. Zeiner; M. Schneeberger; M. Pszeida; J. A. Mosbacher; J. Tschuden,"JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria; JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria; JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria; JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria; JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria; JOANNEUM RESEARCH, Forschungsgesellschaft mbH, Institute DIGITAL, Graz, Austria",2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),16 Oct 2024,2024,,,1,4,"Industry 5.0 brings human, AI, data, and robots together by supporting decision makers thus positively affecting the work balance between workers and machines. One key aspect for the daily decision-making on worker allocation in production is to consider the resilience of individual workers. Advanced manufacturing companies intend to foster well-being while avoiding illness, absenteeism and loss of resources with economic impact. We present work-in-progress on introducing human resilience as a central human factors construct for optimizing long-term effects of human-machine interaction on worker's health. For this purpose, components for computing AI-based physiological strain as well as resilience scores were developed. We also project towards adequate optimization methodology to adjust worker allocation based on resilience in time. Motivated human-centered production highly depends on the acceptance based on fairness and transparency, specifically in the context of the novel AI technologies.",1946-0759,979-8-3503-6123-0,10.1109/ETFA61755.2024.10710860,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10710860,resilience;physiological stress;optimization;decision support;fairness and transparency,Service robots;Production;Physiology;Manufacturing;Resource management;Artificial intelligence;Optimization;Manufacturing automation;Resilience;Strain,,,,26,IEEE,16 Oct 2024,,,IEEE,IEEE Conferences
Trusting Intelligent Machines: Deepening Trust Within Socio-Technical Systems,P. Andras; L. Esterle; M. Guckert; T. A. Han; P. R. Lewis; K. Milanovic; T. Payne; C. Perret; J. Pitt; S. T. Powers; N. Urquhart; S. Wells,"School of Computing and Mathematics, Keele University, Keele, Staffordshire, U.K; Department of Computer Science, Aston University, Birmingham, U.K; Fachbereich Mathematik Naturwissenschaften und Datenverarbeitung, Technische Hochschule Mittelhessen, Giessen, Hessen, Germany; Teesside University School of Computing, Middlesbrough, U.K; Department of Computer Science, Aston University, Birmingham, U.K; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K; Department of Computer Science, University of Liverpool, Liverpool, U.K; Merchiston Campus, School of Computing, Edinburgh Napier University, Edinburgh, U.K; Department of Electrical and Electronic Engineering, Imperial College London, London, U.K; Merchiston Campus, School of Computing, Edinburgh Napier University, Edinburgh, U.K; Merchiston Campus, School of Computing, Edinburgh Napier University, Edinburgh, U.K; Merchiston Campus, School of Computing, Edinburgh Napier University, Edinburgh, U.K",IEEE Technology and Society Magazine,4 Dec 2018,2018,37,4,76,83,"Intelligent machines have reached capabilities that go beyond a level that a human being can fully comprehend without sufficiently detailed understanding of the underlying mechanisms. The choice of moves in the game Go (generated by Deep Mind?s Alpha Go Zero [1]) are an impressive example of an artificial intelligence system calculating results that even a human expert for the game can hardly retrace [2]. But this is, quite literally, a toy example. In reality, intelligent algorithms are encroaching more and more into our everyday lives, be it through algorithms that recommend products for us to buy, or whole systems such as driverless vehicles. We are delegating ever more aspects of our daily routines to machines, and this trend looks set to continue in the future. Indeed, continued economic growth is set to depend on it. The nature of human-computer interaction in the world that the digital transformation is creating will require (mutual) trust between humans and intelligent, or seemingly intelligent, machines. But what does it mean to trust an intelligent machine? How can trust be established between human societies and intelligent machines?",1937-416X,,10.1109/MTS.2018.2876107,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8558724,,Artificial intelligence;Ethics;Cognition;Intelligent systems;Game theory;Economics;Multi-agent systems,,83,,38,IEEE,4 Dec 2018,,,IEEE,IEEE Magazines
Enabling Self-Driving Networks with Machine Learning,A. S. Jacobs; R. A. Ferreira; L. Z. Granville,"Federal University of Rio Grande do Sul, Brazil; Federal University of Mato Grosso do Sul, Brazil; Federal University of Rio Grande do Sul, Brazil",NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,21 Jun 2023,2023,,,1,6,"This work aims to enable self-driving networks by tackling the lack of trust that network operators have in Machine Learning (ML) models. We assess and scrutinize the decision-making process of ML-based classifiers used to compose a self-driving network. First, we investigate and evaluate the accuracy and credibility of classifications made by ML models used to process high-level management intents. We propose a novel conversational interface (LUMI) that allows operators to use natural language to describe how the network should behave. Second, we analyze and assess the accuracy and credibility of existing ML models’ for network security and performance. We also uncover the need to reinvent how researchers apply ML to networking problems, so we propose a new ML pipeline that introduces steps to scrutinize models using techniques from the emerging field of eXplainable Artificial Intelligence (XAI). Finally, we investigate whether there is a viable method to improve the trust of operators in the decisions made by ML models that enable self-driving networks. Our investigation led us to propose a new XAI method to extract explanations from any given black-box ML model in the form of decision trees while maintaining a manageable size, which we called TRUSTEE. Our results show that ML models widely applied to solve networking problems have not been put under proper scrutiny and can easily break when put under real-world traffic. Such models, therefore, need to be corrected to fulfill their given tasks properly.",2374-9709,978-1-6654-7716-1,10.1109/NOMS56928.2023.10154431,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10154431,Self-Driving Networks;Machine Learning;Explainability;Intent-Based Networking,Natural languages;Decision making;Pipelines;Closed box;Machine learning;Network security;Human in the loop,,,,27,IEEE,21 Jun 2023,,,IEEE,IEEE Conferences
Decision Support Based on Human-Machine Collaboration Patterns: Conceptual Model and Scenario,A. Smirnov; T. Levashova,"St. Petersburg Federal Research Center of the Russian Academy of Sciences, St. Petersburg, Russia; St. Petersburg Federal Research Center of the Russian Academy of Sciences, St. Petersburg, Russia",2024 35th Conference of Open Innovations Association (FRUCT),9 May 2024,2024,,,715,724,The paper proposes a conceptual model of human-machine collaborative decision support in which humans and software agents use collaboration patterns to achieve goals of decision-making process steps. An analysis of collaboration patterns identified in multiple domains is provided and a pattern classification is offered. A sample scenario for collaborative decision support is proposed. The scenario illustrates a possible functionality of a collaborative decision support system implemented according to the conceptual model developed.,2305-7254,978-952-65246-1-0,10.23919/FRUCT61870.2024.10516361,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10516361,,Decision support systems;Measurement;Analytical models;Technological innovation;Human-machine systems;Collaboration;Pattern classification,,,,25,,9 May 2024,,,IEEE,IEEE Conferences
Reliable Time Series Counterfactual Explanations Guided by ShapeDBA,P. Li; P. Hosseinzadeh; O. Bahri; S. F. Boubrahimi; S. M. Hamdi,"Department of Computer Science, Utah State University, Logan, UT; Department of Computer Science, Utah State University, Logan, UT; Department of Computer Science, Utah State University, Logan, UT; Department of Computer Science, Utah State University, Logan, UT; Department of Computer Science, Utah State University, Logan, UT",2024 IEEE International Conference on Big Data (BigData),16 Jan 2025,2024,,,1574,1579,"Artificial intelligence (AI) and algorithmic decision-making are profoundly shaping various aspects of society, with applications in healthcare, business, education, etc. As these systems become more integral to high-stakes decisions, concerns about their transparency and interpretability are growing. To address these concerns, explainable AI (XAI) methods have been developed, with counterfactual explanations emerging as a powerful tool. Counterfactuals help users understand AI decisions by demonstrating how small changes in input could alter the outcome, providing a clear and intuitive way to interpret AI behavior. Despite their potential, generating valid, interpretable, and efficient counterfactual explanations is particularly challenging in time series domains, where data points are interdependent. In this paper, we introduce a novel approach to counterfactual explanations guided by ShapeDTW Barycenter Averaging (ShapeDBA). By integrating ShapeDBA into the counterfactual generation process, we ensure that the produced explanations are not only valid and interpretable but also efficient to generate. Our approach provides counterfactuals that align closely with human intuition while maintaining the computational efficiency required for practical deployment. This work represents a significant step forward in the development of interpretable AI systems, particularly in the complex domain of time series analysis.",2573-2978,979-8-3503-6248-0,10.1109/BigData62323.2024.10825447,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825447,Explainable Artificial Intelligence (XAI);counterfactual explanations;time series classification;DTW barycenter averaging,Explainable AI;Computational modeling;Time series analysis;Education;Decision making;Medical services;Big Data;Computational efficiency;Reliability;Business,,,,25,IEEE,16 Jan 2025,,,IEEE,IEEE Conferences
User centric explanations: a breakthrough for explainable models,A. Hassan; M. A. A. Abdulhak; R. Bin Sulaiman; H. Kahtan,"Institute of IR 4.0 (IIR4.0), The National University of Malaysia, Bangi, Malaysia; Consultant & Researcher, Madinah, Saudi Arabia; Institute of IR 4.0 (IIR4.0), The National University of Malaysia, Bangi, Malaysia; Department of Software Engineering, Faculty of Computer Science and Information Technology, Universiti Malaya, Kuala Lumpur, Malaysia",2021 International Conference on Information Technology (ICIT),26 Jul 2021,2021,,,702,707,"Thanks to recent developments in explainable Deep Learning models, researchers have shown that these models can be incredibly successful and provide encouraging results. However, a lack of model interpretability can hinder the efficient implementation of Deep Learning models in real-world applications. This has encouraged researchers to develop and design a large number of algorithms to support transparency. Although studies have raised awareness of the importance of explainable artificial intelligence, the question of how to solve the needs of real users to understand artificial intelligence remains unanswered. In this paper, we provide an overview of the current state of the research field at Human-Centered Machine Learning and new methods for user-centric explanations for deep learning models. Furthermore, we outline future directions for interpretable machine learning and discuss the challenges facing this research field, as well as the importance and motivation behind developing user-centric explanations for Deep Learning models.",,978-1-6654-2870-5,10.1109/ICIT52682.2021.9491641,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9491641,explainable artificial intelligence;human-AI interaction;machine learning,Deep learning;Industries;Machine learning algorithms;Social sciences;Collaboration;Medical services;Learning (artificial intelligence),,1,,51,IEEE,26 Jul 2021,,,IEEE,IEEE Conferences
Exploring Trust and Explainability of Unmanned Systems,J. R. Field,"Naval Architecture & Eng. Dept., Carderock Division, Naval Sea Systems Command, West Bethesda, MD, USA",OCEANS 2023 - Limerick,12 Sep 2023,2023,,,1,6,"Explainability (often referred to as interpretability) refers to the concept of providing context to an AI/ML model and its output, thereby assisting a human user in understanding the system’s decision-making process. The concept of explainability is especially helpful when we consider the high cognitive load and intense data management strategies that are required for current human-in-the-loop operations in use today. The work presented here aims to provide an explainability framework for autonomous systems, to provide system transparency, and enhance operator awareness. This work served to develop a novel method of sorting and evaluating data streams taken from an operational system, to filter and transmit data packages based on mission conditions. Post mission analysis yielded apparent trends in messaging hierarchy, indicating that certain health and status data streams were consistently prioritized, regardless of the pre-defined metrics. Additional data analysis was performed to evaluate sensor outputs with respect to health and status messaging. This process included conducting data correlation and data characterization, to evaluate relationships between data streams, identify data associated with nominal behavior, and perform anomaly detection. Key functional categories were developed, in which the system’s behavior is mapped to a corresponding component (and its respective data stream). Monitoring subsystem performance assists with cross-referencing sensor outputs, to confirm data projections and/or aid in identifying faulty readings. Furthermore, the application of anomaly detection algorithms is coupled with data correlation and/or pattern recognition to extract the most important and salient information.",,979-8-3503-3226-1,10.1109/OCEANSLimerick52467.2023.10244349,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10244349,Autonomy;Explainability;UUV,Measurement;Correlation;Oceans;Market research;Human in the loop;Behavioral sciences;Anomaly detection,,,,10,USGov,12 Sep 2023,,,IEEE,IEEE Conferences
