proquest -journal,,,,,,,,,,,,,,,,,,,
Title,Subtitle,Author,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,Abstract,DocumentUrl,DOI
A Survey of Explainable Artificial Intelligence for Smart Cities,,"Abdul Rehman Javed; Abdul Rehman Javed; Ahmed, Waqas; Pandya, Sharnil; Praveen Kumar Reddy Maddikunta; Alazab, Mamoun; Thippa Reddy Gadekallu",Electronics,Scholarly Journals,,12,4,2023-01-01,2023,1020,,,20799292,,,ENG,"The emergence of Explainable Artificial Intelligence (XAI) has enhanced the lives of humans and envisioned the concept of smart cities using informed actions, enhanced user interpretations and explanations, and firm decision-making processes. The XAI systems can unbox the potential of black-box AI models and describe them explicitly. The study comprehensively surveys the current and future developments in XAI technologies for smart cities. It also highlights the societal, industrial, and technological trends that initiate the drive towards XAI for smart cities. It presents the key to enabling XAI technologies for smart cities in detail. The paper also discusses the concept of XAI for smart cities, various XAI technology use cases, challenges, applications, possible alternative solutions, and current and future research enhancements. Research projects and activities, including standardization efforts toward developing XAI for smart cities, are outlined in detail. The lessons learned from state-of-the-art research are summarized, and various technical challenges are discussed to shed new light on future research possibilities. The presented study on XAI for smart cities is a first-of-its-kind, rigorous, and detailed study to assist future researchers in implementing XAI-driven systems, architectures, and applications for smart cities.",https://www.proquest.com/docview/2779528639?accountid=15181&bdid=109693&_bd=G%2Bjb2RnnZKRjPVO9KFNMnSwgF0Q%3D,https://doi.org/10.3390/electronics12041020
Towards Transparent Healthcare: Advancing Local Explanation Methods in Explainable Artificial Intelligence,,"Metta, Carlo; Metta, Carlo; Beretta, Andrea; Pellungrini, Roberto; Rinzivillo, Salvatore; Giannotti, Fosca",Bioengineering,Scholarly Journals,,11,4,2024-01-01,2024,369,,,23065354,,,ENG,"This paper focuses on the use of local Explainable Artificial Intelligence (XAI) methods, particularly the Local Rule-Based Explanations (LORE) technique, within healthcare and medical settings. It emphasizes the critical role of interpretability and transparency in AI systems for diagnosing diseases, predicting patient outcomes, and creating personalized treatment plans. While acknowledging the complexities and inherent trade-offs between interpretability and model performance, our work underscores the significance of local XAI methods in enhancing decision-making processes in healthcare. By providing granular, case-specific insights, local XAI methods like LORE enhance physicians’ and patients’ understanding of machine learning models and their outcome. Our paper reviews significant contributions to local XAI in healthcare, highlighting its potential to improve clinical decision making, ensure fairness, and comply with regulatory standards.",https://www.proquest.com/docview/3046719457?accountid=15181&bdid=109693&_bd=DoAWFL8QI8EfoGHZPyNRcz3bTnU%3D,https://doi.org/10.3390/bioengineering11040369
Exploring the Landscape of Explainable Artificial Intelligence (XAI): A Systematic Review of Techniques and Applications,,"Sayda Umma Hamida; Sayda Umma Hamida; Mohammad Jabed Morshed Chowdhury; Mohammad Jabed Morshed Chowdhury; Mohammad Jabed Morshed Chowdhury; Chakraborty, Narayan Ranjan; Chakraborty, Narayan Ranjan; Biswas, Kamanashis; Biswas, Kamanashis; Shahrab Khan Sami; Shahrab Khan Sami",Big Data and Cognitive Computing,Scholarly Journals,,8,11,2024-01-01,2024,149,,,25042289,,,ENG,"Artificial intelligence (AI) encompasses the development of systems that perform tasks typically requiring human intelligence, such as reasoning and learning. Despite its widespread use, AI often raises trust issues due to the opacity of its decision-making processes. This challenge has led to the development of explainable artificial intelligence (XAI), which aims to enhance user understanding and trust by providing clear explanations of AI decisions and processes. This paper reviews existing XAI research, focusing on its application in the healthcare sector, particularly in medical and medicinal contexts. Our analysis is organized around key properties of XAI—understandability, comprehensibility, transparency, interpretability, and explainability—providing a comprehensive overview of XAI techniques and their practical implications.",https://www.proquest.com/docview/3132880717?accountid=15181&bdid=109693&_bd=K5OYOXobK%2Ftu5iy9KZoVY4Kdvd4%3D,https://doi.org/10.3390/bdcc8110149
Improving explainable AI with patch perturbation-based evaluation pipeline: a COVID-19 X-ray image analysis case study,,"Sun, Jimin; Shi, Wenqi; Giuste, Felipe O.; Vaghani, Yog S.; Tang, Lingzi; Wang, May D.",Scientific Reports (Nature Publisher Group),Scholarly Journals,,13,1,2023-01-01,2023,19488,,19488,20452322,,,ENG,"Recent advances in artificial intelligence (AI) have sparked interest in developing explainable AI (XAI) methods for clinical decision support systems, especially in translational research. Although using XAI methods may enhance trust in black-box models, evaluating their effectiveness has been challenging, primarily due to the absence of human (expert) intervention, additional annotations, and automated strategies. In order to conduct a thorough assessment, we propose a patch perturbation-based approach to automatically evaluate the quality of explanations in medical imaging analysis. To eliminate the need for human efforts in conventional evaluation methods, our approach executes poisoning attacks during model retraining by generating both static and dynamic triggers. We then propose a comprehensive set of evaluation metrics during the model inference stage to facilitate the evaluation from multiple perspectives, covering a wide range of correctness, completeness, consistency, and complexity. In addition, we include an extensive case study to showcase the proposed evaluation strategy by applying widely-used XAI methods on COVID-19 X-ray imaging classification tasks, as well as a thorough review of existing XAI methods in medical imaging analysis with evaluation availability. The proposed patch perturbation-based workflow offers model developers an automated and generalizable evaluation strategy to identify potential pitfalls and optimize their proposed explainable solutions, while also aiding end-users in comparing and selecting appropriate XAI methods that meet specific clinical needs in real-world clinical research and practice.",https://www.proquest.com/docview/2887745384?accountid=15181&bdid=109693&_bd=9cOAwmgAjVqmJDGqzFnZbkRZNzk%3D,https://doi.org/10.1038/s41598-023-46493-2
To trust or not to trust an explanation: using LEAF to evaluate local linear XAI methods,,"Amparore, Elvio; Perotti, Alan; Bajardi, Paolo",PeerJ Computer Science,Scholarly Journals,,,,2021-04-16,"Apr 16, 2021",n/a,,,23765992,,,ENG,"The main objective of eXplainable Artificial Intelligence (XAI) is to provide effective explanations for black-box classifiers. The existing literature lists many desirable properties for explanations to be useful, but there is a scarce consensus on how to quantitatively evaluate explanations in practice. Moreover, explanations are typically used only to inspect black-box models, and the proactive use of explanations as a decision support is generally overlooked. Among the many approaches to XAI, a widely adopted paradigm is Local Linear Explanations—with LIME and SHAP emerging as state-of-the-art methods. We show that these methods are plagued by many defects including unstable explanations, divergence of actual implementations from the promised theoretical properties, and explanations for the wrong label. This highlights the need to have standard and unbiased evaluation procedures for Local Linear Explanations in the XAI field. In this paper we address the problem of identifying a clear and unambiguous set of metrics for the evaluation of Local Linear Explanations. This set includes both existing and novel metrics defined specifically for this class of explanations. All metrics have been included in an open Python framework, named LEAF. The purpose of LEAF is to provide a reference for end users to evaluate explanations in a standardised and unbiased way, and to guide researchers towards developing improved explainable techniques.",https://www.proquest.com/docview/2513412843?accountid=15181&bdid=109693&_bd=Uz7DWPE3gBEGS8RKpt%2FWyqRxZW8%3D,https://doi.org/10.7717/peerj-cs.479
Current Challenges and Future Opportunities for XAI in Machine Learning-Based Clinical Decision Support Systems: A Systematic Review,,"Antoniadi, Anna Markella; Du, Yuhan; Guendouz, Yasmine; Lan, Wei; Mazo, Claudia; Becker, Brett A; Mooney, Catherine; Mooney, Catherine",Applied Sciences,Scholarly Journals,,11,11,2021-01-01,2021,5088,,,20763417,,,ENG,"Machine Learning and Artificial Intelligence (AI) more broadly have great immediate and future potential for transforming almost all aspects of medicine. However, in many applications, even outside medicine, a lack of transparency in AI applications has become increasingly problematic. This is particularly pronounced where users need to interpret the output of AI systems. Explainable AI (XAI) provides a rationale that allows users to understand why a system has produced a given output. The output can then be interpreted within a given context. One area that is in great need of XAI is that of Clinical Decision Support Systems (CDSSs). These systems support medical practitioners in their clinic decision-making and in the absence of explainability may lead to issues of under or over-reliance. Providing explanations for how recommendations are arrived at will allow practitioners to make more nuanced, and in some cases, life-saving decisions. The need for XAI in CDSS, and the medical field in general, is amplified by the need for ethical and fair decision-making and the fact that AI trained with historical data can be a reinforcement agent of historical actions and biases that should be uncovered. We performed a systematic literature review of work to-date in the application of XAI in CDSS. Tabular data processing XAI-enabled systems are the most common, while XAI-enabled CDSS for text analysis are the least common in literature. There is more interest in developers for the provision of local explanations, while there was almost a balance between post-hoc and ante-hoc explanations, as well as between model-specific and model-agnostic techniques. Studies reported benefits of the use of XAI such as the fact that it could enhance decision confidence for clinicians, or generate the hypothesis about causality, which ultimately leads to increased trustworthiness and acceptability of the system and potential for its incorporation in the clinical workflow. However, we found an overall distinct lack of application of XAI in the context of CDSS and, in particular, a lack of user studies exploring the needs of clinicians. We propose some guidelines for the implementation of XAI in CDSS and explore some opportunities, challenges, and future research needs.",https://www.proquest.com/docview/2635418950?accountid=15181&bdid=109693&_bd=quhDNv6wTzSBWE0KhlURLmQHApU%3D,https://doi.org/10.3390/app11115088
Fault Detection and Diagnosis in Industry 4.0: A Review on Challenges and Opportunities,,"Leite, Denis; Leite, Denis; Andrade, Emmanuel; Rativa, Diego; Maciel, Alexandre M A",Sensors,Scholarly Journals,,25,1,2025-01-01,2025,60,,,14248220,,,ENG,"Integrating Machine Learning (ML) in industrial settings has become a cornerstone of Industry 4.0, aiming to enhance production system reliability and efficiency through Real-Time Fault Detection and Diagnosis (RT-FDD). This paper conducts a comprehensive literature review of ML-based RT-FDD. Out of 805 documents, 29 studies were identified as noteworthy for presenting innovative methods that address the complexities and challenges associated with fault detection. While ML-based RT-FDD offers different benefits, including fault prediction accuracy, it faces challenges in data quality, model interpretability, and integration complexities. This review identifies a gap in industrial implementation outcomes that opens new research opportunities. Future Fault Detection and Diagnosis (FDD) research may prioritize standardized datasets to ensure reproducibility and facilitate comparative evaluations. Furthermore, there is a pressing need to refine techniques for handling unbalanced datasets and improving feature extraction for temporal series data. Implementing Explainable Artificial Intelligence (AI) (XAI) tailored to industrial fault detection is imperative for enhancing interpretability and trustworthiness. Subsequent studies must emphasize comprehensive comparative evaluations, reducing reliance on specialized expertise, documenting real-world outcomes, addressing data challenges, and bolstering real-time capabilities and integration. By addressing these avenues, the field can propel the advancement of ML-based RT-FDD methodologies, ensuring their effectiveness and relevance in industrial contexts.",https://www.proquest.com/docview/3153690361?accountid=15181&bdid=109693&_bd=j73HACh6Ym%2BOBmuBAZmKdwjotwI%3D,https://doi.org/10.3390/s25010060
"A Scoping Review on the Progress, Applicability, and Future of Explainable Artificial Intelligence in Medicine",,"González-Alday, Raquel; González-Alday, Raquel; González-Alday, Raquel; García-Cuesta, Esteban; García-Cuesta, Esteban; Kulikowski, Casimir A; Maojo, Victor",Applied Sciences,Scholarly Journals,,13,19,2023-01-01,2023,10778,,,20763417,,,ENG,"Due to the success of artificial intelligence (AI) applications in the medical field over the past decade, concerns about the explainability of these systems have increased. The reliability requirements of black-box algorithms for making decisions affecting patients pose a challenge even beyond their accuracy. Recent advances in AI increasingly emphasize the necessity of integrating explainability into these systems. While most traditional AI methods and expert systems are inherently interpretable, the recent literature has focused primarily on explainability techniques for more complex models such as deep learning. This scoping review critically analyzes the existing literature regarding the explainability and interpretability of AI methods within the clinical domain. It offers a comprehensive overview of past and current research trends with the objective of identifying limitations that hinder the advancement of Explainable Artificial Intelligence (XAI) in the field of medicine. Such constraints encompass the diverse requirements of key stakeholders, including clinicians, patients, and developers, as well as cognitive barriers to knowledge acquisition, the absence of standardised evaluation criteria, the potential for mistaking explanations for causal relationships, and the apparent trade-off between model accuracy and interpretability. Furthermore, this review discusses possible research directions aimed at surmounting these challenges. These include alternative approaches to leveraging medical expertise to enhance interpretability within clinical settings, such as data fusion techniques and interdisciplinary assessments throughout the development process, emphasizing the relevance of taking into account the needs of final users to design trustable explainability methods.",https://www.proquest.com/docview/2876469042?accountid=15181&bdid=109693&_bd=A1BdhZvff95yp3IFkflzYN%2BAFdA%3D,https://doi.org/10.3390/app131910778
Should AI models be explainable to clinicians?,,"Abgrall, Gwénolé; Holder, Andre L; Zaineb Chelly Dagdia; Zeitouni, Karine; Monnet, Xavier",Critical Care,Scholarly Journals,,28,,2024-01-01,2024,1,,1-8,13648535,,,ENG,"In the high-stakes realm of critical care, where daily decisions are crucial and clear communication is paramount, comprehending the rationale behind Artificial Intelligence (AI)-driven decisions appears essential. While AI has the potential to improve decision-making, its complexity can hinder comprehension and adherence to its recommendations. “Explainable AI” (XAI) aims to bridge this gap, enhancing confidence among patients and doctors. It also helps to meet regulatory transparency requirements, offers actionable insights, and promotes fairness and safety. Yet, defining explainability and standardising assessments are ongoing challenges and balancing performance and explainability can be needed, even if XAI is a growing field.",https://www.proquest.com/docview/3201585517?accountid=15181&bdid=109693&_bd=DDBIzCvwFRN4JRUCCOQ2jqpzARM%3D,https://doi.org/10.1186/s13054-024-05005-y
Transparency of Artificial Intelligence in Healthcare: Insights from Professionals in Computing and Healthcare Worldwide,,"Bernal, Jose; Mazo, Claudia; Mazo, Claudia; Mazo, Claudia",Applied Sciences,Scholarly Journals,,12,20,2022-01-01,2022,10228,,,20763417,,,ENG,"Although it is widely assumed that Artificial Intelligence (AI) will revolutionise healthcare in the near future, considerable progress must yet be made in order to gain the trust of healthcare professionals and patients. Improving AI transparency is a promising avenue for addressing such trust issues. However, transparency still lacks maturation and definitions. We seek to answer what challenges do experts and professionals in computing and healthcare identify concerning transparency of AI in healthcare? Here, we examine AI transparency in healthcare from five angles: interpretability, privacy, security, equity, and intellectual property. We respond to this question based on recent literature discussing the transparency of AI in healthcare and on an international online survey we sent to professionals working in computing and healthcare and potentially within AI. We collected responses from 40 professionals around the world. Overall, the survey results and current state of the art suggest key problems are a generalised lack of information available to the general public, a lack of understanding of transparency aspects covered in this work, and a lack of involvement of all stakeholders in the development of AI systems. We propose a set of recommendations, the implementation of which can enhance the transparency of AI in healthcare.",https://www.proquest.com/docview/2728422265?accountid=15181&bdid=109693&_bd=biUxlzjJRQnv2LVKbsxggrsgUNE%3D,https://doi.org/10.3390/app122010228
Explainable Image Classification: The Journey So Far and the Road Ahead,,"Kamakshi, Vidhya; Krishnan, Narayanan C; Krishnan, Narayanan C",AI,Scholarly Journals,,4,3,2023-01-01,2023,620,,,26732688,,,ENG,"Explainable Artificial Intelligence (XAI) has emerged as a crucial research area to address the interpretability challenges posed by complex machine learning models. In this survey paper, we provide a comprehensive analysis of existing approaches in the field of XAI, focusing on the tradeoff between model accuracy and interpretability. Motivated by the need to address this tradeoff, we conduct an extensive review of the literature, presenting a multi-view taxonomy that offers a new perspective on XAI methodologies. We analyze various sub-categories of XAI methods, considering their strengths, weaknesses, and practical challenges. Moreover, we explore causal relationships in model explanations and discuss approaches dedicated to explaining cross-domain classifiers. The latter is particularly important in scenarios where training and test data are sampled from different distributions. Drawing insights from our analysis, we propose future research directions, including exploring explainable allied learning paradigms, developing evaluation metrics for both traditionally trained and allied learning-based classifiers, and applying neural architectural search techniques to minimize the accuracy–interpretability tradeoff. This survey paper provides a comprehensive overview of the state-of-the-art in XAI, serving as a valuable resource for researchers and practitioners interested in understanding and advancing the field.",https://www.proquest.com/docview/2869218067?accountid=15181&bdid=109693&_bd=aWjCNXANC2Rquep2uyHys1njMvs%3D,https://doi.org/10.3390/ai4030033
Explainable Artificial Intelligence (XAI): Concepts and Challenges in Healthcare,,"Hulsen, Tim",AI,Scholarly Journals,,4,3,2023-01-01,2023,652,,,26732688,,,ENG,"Artificial Intelligence (AI) describes computer systems able to perform tasks that normally require human intelligence, such as visual perception, speech recognition, decision-making, and language translation. Examples of AI techniques are machine learning, neural networks, and deep learning. AI can be applied in many different areas, such as econometrics, biometry, e-commerce, and the automotive industry. In recent years, AI has found its way into healthcare as well, helping doctors make better decisions (“clinical decision support”), localizing tumors in magnetic resonance images, reading and analyzing reports written by radiologists and pathologists, and much more. However, AI has one big risk: it can be perceived as a “black box”, limiting trust in its reliability, which is a very big issue in an area in which a decision can mean life or death. As a result, the term Explainable Artificial Intelligence (XAI) has been gaining momentum. XAI tries to ensure that AI algorithms (and the resulting decisions) can be understood by humans. In this narrative review, we will have a look at some central concepts in XAI, describe several challenges around XAI in healthcare, and discuss whether it can really help healthcare to advance, for example, by increasing understanding and trust. Finally, alternatives to increase trust in AI are discussed, as well as future research possibilities in the area of XAI.",https://www.proquest.com/docview/2869216448?accountid=15181&bdid=109693&_bd=WWcGfEAH%2Ff21YuZuIuiR4OK4hK0%3D,https://doi.org/10.3390/ai4030034
Explainable AI improves task performance in human–AI collaboration,,,Scientific Reports (Nature Publisher Group),Scholarly Journals,,14,1,2024-01-01,2024,31150,,31150,20452322,,,ENG,"Artificial intelligence (AI) provides considerable opportunities to assist human work. However, one crucial challenge of human–AI collaboration is that many AI algorithms operate in a black-box manner where the way how the AI makes predictions remains opaque. This makes it difficult for humans to validate a prediction made by AI against their own domain knowledge. For this reason, we hypothesize that augmenting humans with explainable AI improves task performance in human–AI collaboration. To test this hypothesis, we implement explainable AI in the form of visual heatmaps in inspection tasks conducted by domain experts. Visual heatmaps have the advantage that they are easy to understand and help to localize relevant parts of an image. We then compare participants that were either supported by (a) black-box AI or (b) explainable AI, where the latter supports them to follow AI predictions when the AI is accurate or overrule the AI when the AI predictions are wrong. We conducted two preregistered experiments with representative, real-world visual inspection tasks from manufacturing and medicine. The first experiment was conducted with factory workers from an electronics factory, who performed  assessments of whether electronic products have defects. The second experiment was conducted with radiologists, who performed  assessments of chest X-ray images to identify lung lesions. The results of our experiments with domain experts performing real-world tasks show that task performance improves when participants are supported by explainable AI with heatmaps instead of black-box AI. We find that explainable AI as a decision aid improved the task performance by 7.7 percentage points (95% confidence interval [CI]: 3.3% to 12.0%, ) in the manufacturing experiment and by 4.7 percentage points (95% CI: 1.1% to 8.3%, ) in the medical experiment compared to black-box AI. These gains represent a significant improvement in task performance.",https://www.proquest.com/docview/3149653370?accountid=15181&bdid=109693&_bd=wQ%2FP05ZAHUbSuA8WdI0fhzVOKD8%3D,https://doi.org/10.1038/s41598-024-82501-9
AI-Assisted Forecasting of a Mitigated Multiple Steam Generator Tube Rupture Scenario in a Typical Nuclear Power Plant,,"Spisak, Sonia; Diab, Aya; Diab, Aya",Energies,Scholarly Journals,,18,2,2025-01-01,2025,250,,,19961073,,,ENG,"This study is focused on developing a machine learning (ML) meta-model to predict the progression of a multiple steam generator tube rupture (MSGTR) accident in the APR1400 reactor. The accident was simulated using the thermal–hydraulic code RELAP5/SCDAPSIM/MOD3.4. The model incorporates a mitigation strategy executed through operator interventions. Following this, uncertainty quantification employing the Best Estimate Plus Uncertainty (BEPU) methodology was undertaken by coupling RELAP5/SCDAPSIM/MOD3.4 with the statistical software, DAKOTA 6.14.0. The analysis concentrated on critical safety parameters, including Reactor Coolant System (RCS) pressure and temperature, as well as reactor vessel upper head (RVUH) void fraction. These simulations generated a comprehensive dataset, which served as the foundation for training three ML architectures: Gated Recurrent Unit (GRU), Long Short-Term Memory (LSTM), and Convolutional LSTM (CNN+LSTM). Among these models, the CNN+LSTM hybrid configuration demonstrated superior performance, excelling in both predictive accuracy and computational efficiency. To bolster the model’s transparency and interpretability, Integrated Gradients (IGs)—an advanced Explainable AI (XAI) technique—was applied, elucidating the contribution of input features to the model’s predictions and enhancing its trustworthiness.",https://www.proquest.com/docview/3159624439?accountid=15181&bdid=109693&_bd=TKW1S1cA2zwQWyB6zXGUINZB5yY%3D,https://doi.org/10.3390/en18020250
Anomaly Detection and Analysis in Nuclear Power Plants,,"Chaudhary, Abhishek; Han, Junseo; Kim, Seongah; Kim, Aram; Choi, Sunoh; Choi, Sunoh",Electronics,Scholarly Journals,,13,22,2024-01-01,2024,4428,,,20799292,,,ENG,"Industries are increasingly adopting digital systems to improve control and accessibility by providing real-time monitoring and early alerts for potential issues. While digital transformation fuels exponential growth, it exposes these industries to cyberattacks. For critical sectors such as nuclear power plants, a cyberattack not only risks damaging the facility but also endangers human lives. In today’s digital world, enormous amounts of data are generated, and the analysis of these data can help ensure effectiveness, including security. In this study, we analyzed the data using a deep learning model for early detection of abnormal behavior. We first examined the Asherah Nuclear Power Plant simulator by initiating three different cyberattacks, each targeting a different system, thereby collecting and analyzing data from the simulator. Second, a Bi-LSTM model was used to detect anomalies in the simulator, which detected it before the plant’s protection system was activated in response to a threat. Finally, we applied explainable AI (XAI) to acquire insight into how distinctive features contribute to the detection of anomalies. XAI provides valuable explanations of model behavior by revealing how specific features influence anomaly detection during attacks. This research proposes an effective anomaly detection technique and interpretability to better understand counter-cyber threats in critical industries, such as nuclear plants.",https://www.proquest.com/docview/3133015140?accountid=15181&bdid=109693&_bd=7PiZH2Mwes%2FK%2BvPnCMpzrIcZ62I%3D,https://doi.org/10.3390/electronics13224428
A Survey on Artificial Intelligence (AI) and eXplainable AI in Air Traffic Management: Current Trends and Development with Future Research Trajectory,,"Degas, Augustin; Degas, Augustin; Islam, Mir Riyanul; Islam, Mir Riyanul; Hurter, Christophe; Barua, Shaibal; Rahman, Hamidur; Poudel, Minesh; Ruscio, Daniele; Mobyen Uddin Ahmed; Begum, Shahina; Rahman, Md Aquif; Bonelli, Stefano; Cartocci, Giulia; Gianluca Di Flumeri; Borghini, Gianluca; Babiloni, Fabio; Aricó, Pietro",Applied Sciences,Scholarly Journals,,12,3,2022-01-01,2022,1295,,,20763417,,,ENG,"Air Traffic Management (ATM) will be more complex in the coming decades due to the growth and increased complexity of aviation and has to be improved in order to maintain aviation safety. It is agreed that without significant improvement in this domain, the safety objectives defined by international organisations cannot be achieved and a risk of more incidents/accidents is envisaged. Nowadays, computer science plays a major role in data management and decisions made in ATM. Nonetheless, despite this, Artificial Intelligence (AI), which is one of the most researched topics in computer science, has not quite reached end users in ATM domain. In this paper, we analyse the state of the art with regards to usefulness of AI within aviation/ATM domain. It includes research work of the last decade of AI in ATM, the extraction of relevant trends and features, and the extraction of representative dimensions. We analysed how the general and ATM eXplainable Artificial Intelligence (XAI) works, analysing where and why XAI is needed, how it is currently provided, and the limitations, then synthesise the findings into a conceptual framework, named the DPP (Descriptive, Predictive, Prescriptive) model, and provide an example of its application in a scenario in 2030. It concludes that AI systems within ATM need further research for their acceptance by end-users. The development of appropriate XAI methods including the validation by appropriate authorities and end-users are key issues that needs to be addressed.",https://www.proquest.com/docview/2636122993?accountid=15181&bdid=109693&_bd=GTR5lm3wcbRo001W53lD7FbJaUo%3D,https://doi.org/10.3390/app12031295
A Multi-Component Framework for the Analysis and Design of Explainable Artificial Intelligence,,"Mi-Young, Kim; Mi-Young, Kim; Mi-Young, Kim; Atakishiyev, Shahin; Atakishiyev, Shahin; Housam Khalifa Bashier Babiker; Housam Khalifa Bashier Babiker; Nawshad Farruque; Nawshad Farruque; Goebel, Randy; Goebel, Randy; Zaïane, Osmar R; Zaïane, Osmar R; Mohammad-Hossein Motallebi; Mohammad-Hossein Motallebi; Rabelo, Juliano; Rabelo, Juliano; Syed, Talat; Syed, Talat; Yao, Hengshuai; Chun, Peter",Machine Learning and Knowledge Extraction,Scholarly Journals,,3,4,2021-01-01,2021,900,,,25044990,,,ENG,"The rapid growth of research in explainable artificial intelligence (XAI) follows on two substantial developments. First, the enormous application success of modern machine learning methods, especially deep and reinforcement learning, have created high expectations for industrial, commercial, and social value. Second, the emerging and growing concern for creating ethical and trusted AI systems, including compliance with regulatory principles to ensure transparency and trust. These two threads have created a kind of “perfect storm” of research activity, all motivated to create and deliver any set of tools and techniques to address the XAI demand. As some surveys of current XAI suggest, there is yet to appear a principled framework that respects the literature of explainability in the history of science and which provides a basis for the development of a framework for transparent XAI. We identify four foundational components, including the requirements for (1) explicit explanation knowledge representation, (2) delivery of alternative explanations, (3) adjusting explanations based on knowledge of the explainee, and (4) exploiting the advantage of interactive explanation. With those four components in mind, we intend to provide a strategic inventory of XAI requirements, demonstrate their connection to a basic history of XAI ideas, and then synthesize those ideas into a simple framework that can guide the design of AI systems that require XAI.",https://www.proquest.com/docview/2612800169?accountid=15181&bdid=109693&_bd=fpeF2EurE8GS2lqhqwIO95S806w%3D,https://doi.org/10.3390/make3040045
The Virtues of Interpretable Medical AI,,"Hatherley, Joshua; Sparrow, Robert; Howard, Mark",Cambridge Quarterly of Healthcare Ethics,Scholarly Journals,,33,3,2024-07-01,Jul 2024,323,332,323-332,9631801,,,ENG,"Artificial intelligence (AI) systems have demonstrated impressive performance across a variety of clinical tasks. However, notoriously, sometimes these systems are “black boxes.” The initial response in the literature was a demand for “explainable AI.” However, recently, several authors have suggested that making AI more explainable or “interpretable” is likely to be at the cost of the accuracy of these systems and that prioritizing interpretability in medical AI may constitute a “lethal prejudice.” In this paper, we defend the value of interpretability in the context of the use of AI in medicine. Clinicians may prefer interpretable systems over more accurate black boxes, which in turn is sufficient to give designers of AI reason to prefer more interpretable systems in order to ensure that AI is adopted and its benefits realized. Moreover, clinicians may be justified in this preference. Achieving the downstream benefits from AI is critically dependent on how the outputs of these systems are interpreted by physicians and patients. A preference for the use of highly accurate black box AI systems, over less accurate but more interpretable systems, may itself constitute a form of lethal prejudice that may diminish the benefits of AI to—and perhaps even harm—patients.",https://www.proquest.com/docview/3171933498?accountid=15181&bdid=109693&_bd=Vnfm%2Fm7wJzmT2PfcA1oxC3p3SKo%3D,https://doi.org/10.1017/S0963180122000664
Solving the explainable AI conundrum by bridging clinicians’ needs and developers’ goals,,"Bienefeld, Nadine; Boss, Jens Michael; Lüthy, Rahel; Brodbeck, Dominique; Azzati, Jan; Blaser, Mirco; Willms, Jan; Keller, Emanuela",NPJ Digital Medicine,Scholarly Journals,,6,1,2023-12-01,Dec 2023,94,,94,23986352,,,ENG,"Explainable artificial intelligence (XAI) has emerged as a promising solution for addressing the implementation challenges of AI/ML in healthcare. However, little is known about how developers and clinicians interpret XAI and what conflicting goals and requirements they may have. This paper presents the findings of a longitudinal multi-method study involving 112 developers and clinicians co-designing an XAI solution for a clinical decision support system. Our study identifies three key differences between developer and clinician mental models of XAI, including opposing goals (model interpretability vs. clinical plausibility), different sources of truth (data vs. patient), and the role of exploring new vs. exploiting old knowledge. Based on our findings, we propose design solutions that can help address the XAI conundrum in healthcare, including the use of causal inference models, personalized explanations, and ambidexterity between exploration and exploitation mindsets. Our study highlights the importance of considering the perspectives of both developers and clinicians in the design of XAI systems and provides practical recommendations for improving the effectiveness and usability of XAI in healthcare.",https://www.proquest.com/docview/2817273942?accountid=15181&bdid=109693&_bd=jhHuGD58HvKmn9UIfVn7Ecmx6j8%3D,https://doi.org/10.1038/s41746-023-00837-4
A Systematic Review of Explainable Artificial Intelligence in Terms of Different Application Domains and Tasks,,"Islam, Mir Riyanul; Mobyen Uddin Ahmed; Barua, Shaibal; Begum, Shahina",Applied Sciences,Scholarly Journals,,12,3,2022-01-01,2022,1353,,,20763417,,,ENG,"Artificial intelligence (AI) and machine learning (ML) have recently been radically improved and are now being employed in almost every application domain to develop automated or semi-automated systems. To facilitate greater human acceptability of these systems, explainable artificial intelligence (XAI) has experienced significant growth over the last couple of years with the development of highly accurate models but with a paucity of explainability and interpretability. The literature shows evidence from numerous studies on the philosophy and methodologies of XAI. Nonetheless, there is an evident scarcity of secondary studies in connection with the application domains and tasks, let alone review studies following prescribed guidelines, that can enable researchers’ understanding of the current trends in XAI, which could lead to future research for domain- and application-specific method development. Therefore, this paper presents a systematic literature review (SLR) on the recent developments of XAI methods and evaluation metrics concerning different application domains and tasks. This study considers 137 articles published in recent years and identified through the prominent bibliographic databases. This systematic synthesis of research articles resulted in several analytical findings: XAI methods are mostly developed for safety-critical domains worldwide, deep learning and ensemble models are being exploited more than other types of AI/ML models, visual explanations are more acceptable to end-users and robust evaluation metrics are being developed to assess the quality of explanations. Research studies have been performed on the addition of explanations to widely used AI/ML models for expert users. However, more attention is required to generate explanations for general users from sensitive domains such as finance and the judicial system.",https://www.proquest.com/docview/2636123285?accountid=15181&bdid=109693&_bd=wyjumkA26o2wN521GrtlbBx%2Fa1o%3D,https://doi.org/10.3390/app12031353
